id,name,forme_name,forme_base_pokemon_id,evolution_chain_id,evolution_parent_pokemon_id,evolution_method_id,evolution_parameter,height,weight,species,color,habitat,gender_rate,capture_rate,base_experience,base_happiness,gen1_internal_id,is_baby,has_dp_fem_sprite,has_dp_fem_back_sprite
284,Masquerain,,,141,283,1,22,8,36,Eyeball,blue,water's edge,4,75,128,70,,0,0,0
285,Shroomish,,,142,,,,4,45,Mushroom,brown,forest,4,255,65,70,,0,0,0
286,Breloom,,,142,285,1,23,12,392,Mushroom,green,forest,4,90,165,70,,0,0,0
287,Slakoth,,,143,,,,8,240,Slacker,brown,forest,4,255,83,70,,0,0,0
288,Vigoroth,,,143,287,1,18,14,465,Wild Monkey,white,forest,4,120,126,70,,0,0,0
289,Slaking,,,143,288,1,36,20,1305,Lazy,brown,forest,4,45,210,70,,0,0,0
290,Nincada,,,144,,,,5,55,Trainee,gray,forest,4,255,65,70,,0,0,0
291,Ninjask,,,144,290,1,20,8,120,Ninja,yellow,forest,4,120,155,70,,0,0,0
292,Shedinja,,,144,290,16,Ninjask,8,12,Shed,brown,forest,-1,45,95,70,,0,0,0
293,Whismur,,,145,,,,6,163,Whisper,pink,cave,4,190,68,70,,0,0,0
294,Loudred,,,145,293,1,20,10,405,Big Voice,blue,cave,4,120,126,70,,0,0,0
295,Exploud,,,145,294,1,40,15,840,Loud Noise,blue,cave,4,45,184,70,,0,0,0
296,Makuhita,,,146,,,,10,864,Guts,yellow,mountain,2,180,87,70,,0,0,0
297,Hariyama,,,146,296,1,24,23,2538,Arm Thrust,brown,mountain,2,200,184,70,,0,0,0
298,Azurill,,,90,,,,2,20,Polka Dot,blue,water's edge,6,150,33,70,,1,0,0
299,Nosepass,,,147,,,,10,970,Compass,gray,cave,4,255,108,70,,0,0,0
300,Skitty,,,148,,,,6,110,Kitten,pink,forest,6,255,65,70,,0,0,0
301,Delcatty,,,148,300,6,Moon Stone,11,326,Prim,purple,forest,6,60,138,70,,0,0,0
302,Sableye,,,149,,,,5,110,Darkness,purple,cave,4,45,98,35,,0,0,0
303,Mawile,,,150,,,,6,115,Deceiver,black,cave,4,45,98,70,,0,0,0
304,Aron,,,151,,,,4,600,Iron Armor,gray,mountain,4,180,96,35,,0,0,0
305,Lairon,,,151,304,1,32,9,1200,Iron Armor,gray,mountain,4,90,152,35,,0,0,0
306,Aggron,,,151,305,1,42,21,3600,Iron Armor,gray,mountain,4,45,205,35,,0,0,0
307,Meditite,,,152,,,,6,112,Meditate,blue,mountain,4,180,91,70,,0,0,0
308,Medicham,,,152,307,1,37,13,315,Meditate,red,mountain,4,90,153,70,,0,0,0
309,Electrike,,,153,,,,6,152,Lightning,green,grassland,4,120,104,70,,0,0,0
310,Manectric,,,153,309,1,26,15,402,Discharge,yellow,grassland,4,45,168,70,,0,0,0
311,Plusle,,,154,,,,4,42,Cheering,yellow,grassland,4,200,120,70,,0,0,0
312,Minun,,,155,,,,4,42,Cheering,yellow,grassland,4,200,120,70,,0,0,0
313,Volbeat,,,156,,,,7,177,Firefly,gray,forest,0,150,146,70,,0,0,0
314,Illumise,,,157,,,,6,177,Firefly,purple,forest,8,150,146,70,,0,0,0
315,Roselia,,,158,406,13,,3,20,Thorn,green,grassland,4,150,152,70,,0,0,0
316,Gulpin,,,159,,,,4,103,Stomach,green,grassland,4,225,75,70,,0,0,0
317,Swalot,,,159,316,1,26,17,800,Poison Bag,purple,grassland,4,75,168,70,,0,0,0
318,Carvanha,,,160,,,,8,208,Savage,red,sea,4,225,88,35,,0,0,0
319,Sharpedo,,,160,318,1,30,18,888,Brutal,blue,sea,4,60,175,35,,0,0,0
320,Wailmer,,,161,,,,20,1300,Ball Whale,blue,sea,4,125,137,70,,0,0,0
321,Wailord,,,161,320,1,40,145,3980,Float Whale,blue,sea,4,60,206,70,,0,0,0
322,Numel,,,162,,,,7,240,Numb,yellow,mountain,4,255,88,70,,0,0,0
323,Camerupt,,,162,322,1,33,19,2200,Eruption,red,mountain,4,150,175,70,,0,0,0
324,Torkoal,,,163,,,,5,804,Coal,brown,mountain,4,90,161,70,,0,0,0
325,Spoink,,,164,,,,7,306,Bounce,black,mountain,4,255,89,70,,0,0,0
326,Grumpig,,,164,325,1,32,9,715,Manipulate,purple,mountain,4,60,164,70,,0,0,0
327,Spinda,,,165,,,,11,50,Spot Panda,brown,mountain,4,255,85,70,,0,0,0
328,Trapinch,,,166,,,,7,150,Ant Pit,brown,rough terrain,4,255,73,70,,0,0,0
329,Vibrava,,,166,328,1,35,11,153,Vibration,green,rough terrain,4,120,126,70,,0,0,0
330,Flygon,,,166,329,1,45,20,820,Mystic,green,rough terrain,4,45,197,70,,0,0,0
331,Cacnea,,,167,,,,4,513,Cactus,green,rough terrain,4,190,97,35,,0,0,0
332,Cacturne,,,167,331,1,32,13,774,Scarecrow,green,rough terrain,4,60,177,35,,0,1,0
333,Swablu,,,168,,,,4,12,Cotton Bird,blue,forest,4,255,74,70,,0,0,0
334,Altaria,,,168,333,1,35,11,206,Humming,blue,forest,4,45,188,70,,0,0,0
335,Zangoose,,,169,,,,13,403,Cat Ferret,white,grassland,4,90,165,70,,0,0,0
336,Seviper,,,170,,,,27,525,Fang Snake,black,grassland,4,90,165,70,,0,0,0
337,Lunatone,,,171,,,,10,1680,Meteorite,yellow,cave,-1,45,150,70,,0,0,0
338,Solrock,,,172,,,,12,1540,Meteorite,red,cave,-1,45,150,70,,0,0,0
339,Barboach,,,173,,,,4,19,Whiskers,gray,water's edge,4,190,92,70,,0,0,0
340,Whiscash,,,173,339,1,30,9,236,Whiskers,blue,water's edge,4,75,158,70,,0,0,0
341,Corphish,,,174,,,,6,115,Ruffian,red,water's edge,4,205,111,70,,0,0,0
342,Crawdaunt,,,174,341,1,30,11,328,Rogue,red,water's edge,4,155,161,70,,0,0,0
343,Baltoy,,,175,,,,5,215,Clay Doll,brown,rough terrain,-1,255,58,70,,0,0,0
344,Claydol,,,175,343,1,36,15,1080,Clay Doll,black,rough terrain,-1,90,189,70,,0,0,0
345,Lileep,,,176,,,,10,238,Sea Lily,purple,sea,1,45,99,70,,0,0,0
346,Cradily,,,176,345,1,40,15,604,Barnacle,green,sea,1,45,199,70,,0,0,0
347,Anorith,,,177,,,,7,125,Old Shrimp,gray,water's edge,1,45,99,70,,0,0,0
348,Armaldo,,,177,347,1,40,15,682,Plate,gray,water's edge,1,45,199,70,,0,0,0
349,Feebas,,,178,,,,6,74,Fish,brown,water's edge,4,255,61,70,,0,0,0
350,Milotic,,,178,349,15,170,62,1620,Tender,pink,water's edge,4,60,213,70,,0,0,0
351,Castform,,,179,,,,3,8,Weather,white,grassland,4,45,145,70,,0,0,0
352,Kecleon,,,180,,,,10,220,Color Swap,green,forest,4,200,132,70,,0,0,0
353,Shuppet,,,181,,,,6,23,Puppet,black,urban,4,225,97,35,,0,0,0
354,Banette,,,181,353,1,37,11,125,Marionette,black,urban,4,45,179,35,,0,0,0
355,Duskull,,,182,,,,8,150,Requiem,black,forest,4,190,97,35,,0,0,0
356,Dusclops,,,182,355,1,37,16,306,Beckon,black,forest,4,90,179,35,,0,0,0
357,Tropius,,,183,,,,20,1000,Fruit,green,forest,4,200,169,70,,0,0,0
358,Chimecho,,,184,433,14,,6,10,Wind Chime,blue,grassland,4,45,147,70,,0,0,0
359,Absol,,,185,,,,12,470,Disaster,white,mountain,4,30,174,35,,0,0,0
360,Wynaut,,,100,,,,6,140,Bright,blue,cave,4,125,44,70,,1,0,0
361,Snorunt,,,186,,,,7,168,Snow Hat,gray,cave,4,190,74,70,,0,0,0
362,Glalie,,,186,361,1,42,15,2565,Face,gray,cave,4,75,187,70,,0,0,0
363,Spheal,,,187,,,,8,395,Clap,blue,sea,4,255,75,70,,0,0,0
364,Sealeo,,,187,363,1,32,11,876,Ball Roll,blue,sea,4,120,128,70,,0,0,0
365,Walrein,,,187,364,1,44,14,1506,Ice Break,blue,sea,4,45,192,70,,0,0,0
366,Clamperl,,,188,,,,4,525,Bivalve,blue,sea,4,255,142,70,,0,0,0
367,Huntail,,,188,366,5,DeepSeaTooth,17,270,Deep Sea,blue,sea,4,60,178,70,,0,0,0
368,Gorebyss,,,188,366,5,DeepSeaScale,18,226,South Sea,pink,sea,4,60,178,70,,0,0,0
369,Relicanth,,,189,,,,10,234,Longevity,gray,sea,1,25,198,70,,0,0,0
370,Luvdisc,,,190,,,,6,87,Rendezvous,pink,sea,6,225,110,70,,0,0,0
371,Bagon,,,191,,,,6,421,Rock Head,blue,rough terrain,4,45,89,35,,0,0,0
372,Shelgon,,,191,371,1,30,11,1105,Endurance,white,rough terrain,4,45,144,35,,0,0,0
373,Salamence,,,191,372,1,50,15,1026,Dragon,blue,rough terrain,4,45,218,35,,0,0,0
374,Beldum,,,192,,,,6,952,Iron Ball,blue,rough terrain,-1,3,103,35,,0,0,0
375,Metang,,,192,374,1,20,12,2025,Iron Claw,blue,rough terrain,-1,3,153,35,,0,0,0
376,Metagross,,,192,375,1,45,16,5500,Iron Leg,blue,rough terrain,-1,3,210,35,,0,0,0
377,Regirock,,,193,,,,17,2300,Rock Peak,brown,cave,-1,3,217,35,,0,0,0
378,Regice,,,194,,,,18,1750,Iceberg,blue,cave,-1,3,216,35,,0,0,0
379,Registeel,,,195,,,,19,2050,Iron,gray,cave,-1,3,215,35,,0,0,0
380,Latias,,,196,,,,14,400,Eon,red,water's edge,8,3,211,90,,0,0,0
381,Latios,,,197,,,,20,600,Eon,blue,water's edge,0,3,211,90,,0,0,0
382,Kyogre,,,198,,,,45,3520,Sea Basin,blue,sea,-1,5,218,0,,0,0,0
383,Groudon,,,199,,,,35,9500,Continent,red,rough terrain,-1,5,218,0,,0,0,0
384,Rayquaza,,,200,,,,70,2065,Sky High,green,rare,-1,3,220,0,,0,0,0
385,Jirachi,,,201,,,,3,11,Wish,yellow,mountain,-1,3,215,100,,0,0,0
386,Deoxys,normal,,202,,,,17,608,DNA,red,rare,-1,3,215,0,,0,0,0
387,Turtwig,,,203,,,,4,102,Tiny Leaf,green,,1,45,64,70,,0,0,0
388,Grotle,,,203,387,1,18,11,970,Grove,green,,1,45,141,70,,0,0,0
389,Torterra,,,203,388,1,32,22,3100,Continent,green*,,1,45,208,70,,0,0,0
390,Chimchar,,,204,,,,5,62,Chimp,brown*,,1,45,65,70,,0,0,0
391,Monferno,,,204,390,1,14,9,220,Playful,brown*,,1,45,142,70,,0,0,0
392,Infernape,,,204,391,1,36,12,550,Flame,brown,,1,45,209,70,,0,0,0
393,Piplup,,,205,,,,4,52,Penguin,blue,,1,45,66,70,,0,0,0
394,Prinplup,,,205,393,1,16,8,230,Penguin,blue,,1,45,143,70,,0,0,0
395,Empoleon,,,205,394,1,36,17,845,Emperor,blue,,1,45,210,70,,0,0,0
396,Starly,,,206,,,,3,20,Starling,brown,,4,255,56,70,,0,0,0
397,Staravia,,,206,396,1,14,6,155,Starling,brown,,4,120,113,70,,0,0,0
398,Staraptor,,,206,397,1,34,12,249,Predator,brown,,4,45,172,70,,0,1,0
399,Bidoof,,,207,,,,5,200,Plump Mouse,brown,,4,255,58,70,,0,0,0
400,Bibarel,,,207,399,1,15,10,315,Beaver,brown,,4,127,116,70,,0,1,0
401,Kricketot,,,208,,,,3,22,Cricket,red,,4,255,54,70,,0,0,0
402,Kricketune,,,208,401,1,10,10,255,Cricket,red,,4,45,159,70,,0,0,0
403,Shinx,,,209,,,,5,95,Flash,blue,,4,235,60,70,,0,0,0
404,Luxio,,,209,403,1,15,9,305,Spark,blue,,4,120,117,100,,0,0,0
405,Luxray,,,209,404,1,30,14,420,Gleam Eyes,blue,,4,45,194,70,,0,0,0
406,Budew,,,158,,,,2,12,Bud,green*,,4,255,68,70,,1,0,0
407,Roserade,,,158,315,6,Shiny Stone,9,145,Bouquet,green*,,4,75,204,70,,0,1,0
408,Cranidos,,,211,,,,9,315,Head Butt,blue,,1,45,99,70,,0,0,0
409,Rampardos,,,211,408,1,30,16,1025,Head Butt,blue,,1,45,199,70,,0,0,0
410,Shieldon,,,212,,,,5,570,Shield,gray,,1,45,99,70,,0,0,0
411,Bastiodon,,,212,410,1,30,13,1495,Shield,gray,,1,45,199,70,,0,0,0
412,Burmy,,,213,,,,2,34,Bagworm,gray,,4,120,61,70,,0,0,0
413,Wormadam,grass,,213,412,3,20,5,65,Bagworm,gray,,8,45,159,70,,0,0,0
414,Mothim,,,213,412,2,20,9,233,Moth,yellow,,0,45,159,70,,0,0,0
415,Combee,,,214,,,,3,55,Tiny Bee,yellow,,1,120,63,70,,0,1,0
416,Vespiquen,,,214,415,3,21,12,385,Beehive,yellow,,8,45,188,70,,0,0,0
417,Pachirisu,,,215,,,,4,39,EleSquirrel,white,,4,200,120,100,,0,1,0
418,Buizel,,,216,,,,7,295,Sea Weasel,brown,,4,190,75,70,,0,0,1
419,Floatzel,,,216,418,1,26,11,335,Sea Weasel,brown,,4,75,178,70,,0,0,1
420,Cherubi,,,217,,,,4,33,Cherry,pink,,4,190,68,70,,0,0,0
421,Cherrim,,,217,420,1,25,5,93,Blossom,pink,,4,75,133,70,,0,0,0
422,Shellos,,,218,,,,3,63,Sea Slug,purple,,4,190,73,70,,0,0,0
423,Gastrodon,,,218,422,1,30,9,299,Sea Slug,purple,,4,75,176,70,,0,0,0
424,Ambipom,,,93,190,11,458,12,203,Long Tail,purple,,4,45,186,100,,0,0,0
425,Drifloon,,,219,,,,4,12,Balloon,purple,,4,125,127,70,,0,0,0
426,Drifblim,,,219,425,1,28,12,150,Blimp,purple,,4,60,204,70,,0,0,0
427,Buneary,,,220,,,,4,55,Rabbit,brown,,4,190,84,0,,0,0,0
428,Lopunny,,,220,427,12,,12,333,Rabbit,brown,,4,60,178,140,,0,0,0
429,Mismagius,,,98,200,6,Dusk Stone,9,44,Magical,purple,,4,45,187,35,,0,0,0
430,Honchkrow,,,97,198,6,Dusk Stone,9,273,Big Boss,black,,4,30,187,35,,0,0,0
431,Glameow,,,221,,,,5,39,Catty,gray,,6,190,71,70,,0,0,0
432,Purugly,,,221,431,1,38,10,438,Tiger Cat,gray,,6,75,183,70,,0,0,0
433,Chingling,,,184,,,,2,6,Bell,yellow,,4,120,74,70,,1,0,0
434,Stunky,,,223,,,,4,192,Skunk,purple,,4,225,79,70,,0,0,0
435,Skuntank,,,223,434,1,34,10,380,Skunk,purple,,4,60,209,70,,0,0,0
436,Bronzor,,,224,,,,5,605,Bronze,green,,-1,255,72,70,,0,0,0
437,Bronzong,,,224,436,1,33,13,1870,Bronze Bell,green,,-1,90,188,70,,0,0,0
438,Bonsly,,,91,,,,5,150,Bonsai,brown,,4,255,68,70,,1,0,0
439,Mime Jr.,,,57,,,,6,130,Mime,pink,,4,145,78,70,,1,0,0
440,Happiny,,,51,,,,6,244,Playhouse,pink,,8,130,255,140,,1,0,0
441,Chatot,,,228,,,,5,19,Music Note,black,,4,30,107,35,,0,0,0
442,Spiritomb,,,229,,,,10,1080,Forbidden,purple,,4,100,168,70,,0,0,0
443,Gible,,,230,,,,7,205,Land Shark,blue,,4,45,67,70,,0,0,0
444,Gabite,,,230,443,1,24,14,560,Cave,blue,,4,45,144,70,,0,0,0
445,Garchomp,,,230,444,1,48,19,950,Mach,blue,,4,45,218,70,,0,1,0
446,Munchlax,,,72,,,,6,1050,Big Eater,black,,1,50,94,70,,1,0,0
447,Riolu,,,232,,,,7,202,Emanation,blue,,1,75,72,70,,0,0,0
448,Lucario,,,232,447,13,,12,540,Aura,blue,,1,45,204,70,,0,0,0
449,Hippopotas,,,233,,,,8,495,Hippo,brown,,4,140,95,70,,0,0,0
450,Hippowdon,,,233,449,1,34,20,3000,Heavyweight,brown,,4,60,198,70,,0,0,0
451,Skorupi,,,234,,,,8,120,Scorpion,purple,,4,120,114,70,,0,0,0
452,Drapion,,,234,451,1,40,13,615,Ogre Scorp,purple,,4,45,204,70,,0,0,0
453,Croagunk,,,235,,,,7,230,Toxic Mouth,blue,,4,140,83,100,,0,0,0
454,Toxicroak,,,235,453,1,37,13,444,Toxic Mouth,blue,,4,75,181,70,,0,0,0
455,Carnivine,,,236,,,,14,270,Bug Catcher,green,,4,200,164,70,,0,0,0
456,Finneon,,,237,,,,4,70,Wing Fish,blue,,4,190,90,70,,0,0,0
457,Lumineon,,,237,456,1,31,12,240,Neon,blue,,4,75,156,70,,0,0,0
458,Mantyke,,,116,,,,10,650,Kite,blue,,4,25,108,70,,1,0,0
459,Snover,,,239,,,,10,505,Frost Tree,white,,4,120,131,70,,0,0,0
460,Abomasnow,,,239,459,1,40,22,1355,Frost Tree,white,,4,60,214,70,,0,1,0
461,Weavile,,,109,215,10,Razor Claw,11,340,Sharp Claw,black,,4,45,199,35,,0,0,0
462,Magnezone,,,34,82,4,Mt. Coronet,12,1800,Magnet Area,gray,,-1,30,211,70,,0,0,0
463,Lickilicky,,,48,108,11,205,17,1400,Licking,pink,,4,30,193,70,,0,0,0
464,Rhyperior,,,50,112,5,Protector,24,2828,Drill,gray,,4,30,217,70,,0,0,0
465,Tangrowth,,,52,114,11,246,20,1286,Vine,blue,,4,30,211,70,,0,1,0
466,Electivire,,,60,125,5,Electirizer,18,1386,Thunderbolt,yellow,,2,30,199,70,,0,0,0
467,Magmortar,,,61,126,5,Magmarizer,16,680,Blast,red*,,2,30,199,70,,0,0,0
468,Togekiss,,,87,176,6,Shiny Stone,15,380,Jubilee,white*,,1,30,220,70,,0,0,0
469,Yanmega,,,95,193,11,246,19,515,Ogre Darner,green,,4,30,198,70,,0,0,0
470,Leafeon,,,67,133,4,Moss Rock in Eterna Forest,10,255,Verdant,green,,1,45,196,35,,0,0,0
471,Glaceon,,,67,133,4,Ice Rock on Route 217,8,259,Fresh Snow,blue,,1,45,196,35,,0,0,0
472,Gliscor,,,104,207,10,Razor Fang,20,425,Fang Scorp,purple,,4,30,192,70,,0,0,0
473,Mamoswine,,,112,221,11,246,25,2910,Twin Tusk,brown,,4,50,207,70,,0,1,0
474,Porygon-Z,,,68,233,5,Dubious Disc,9,340,Virtual,red,,-1,30,185,70,,0,0,0
475,Gallade,,,140,281,7,Dawn Stone,16,520,Blade,white,,0,45,208,35,,0,0,0
476,Probopass,,,147,299,4,Mt. Coronet,14,3400,Compass,gray,,4,60,198,70,,0,0,0
477,Dusknoir,,,182,356,5,Reaper Cloth,22,1066,Gripper,black,,4,45,210,35,,0,0,0
478,Froslass,,,186,361,8,Dawn Stone,13,266,Snow Land,white,,8,75,187,70,,0,0,0
479,Rotom,,,240,,,,3,3,Plasma,red,,-1,45,132,70,,0,0,0
480,Uxie,,,241,,,,3,3,Knowledge,yellow,,-1,3,210,140,,0,0,0
481,Mesprit,,,242,,,,3,3,Emotion,pink,,-1,3,210,140,,0,0,0
482,Azelf,,,243,,,,3,3,Willpower,blue,,-1,3,210,140,,0,0,0
483,Dialga,,,244,,,,54,6830,Temporal,white,,-1,30,220,0,,0,0,0
484,Palkia,,,245,,,,42,3360,Spatial,purple,,-1,30,220,0,,0,0,0
485,Heatran,,,246,,,,17,4300,Lava Dome,brown,,4,3,215,100,,0,0,0
486,Regigigas,,,247,,,,37,4200,Colossal,white,,-1,3,220,0,,0,0,0
487,Giratina,,,248,,,,45,7500,Renegade,black,,-1,3,220,0,,0,0,0
488,Cresselia,,,249,,,,15,856,Lunar,yellow,,8,3,210,100,,0,0,0
489,Phione,,,250,,,,4,31,Sea Drifter,blue,,-1,30,165,70,,1,0,0
490,Manaphy,,,250,489,21,,3,14,Seafaring,blue,,-1,3,215,70,,0,0,0
491,Darkrai,,,252,,,,15,505,Pitch-Black,black,,-1,3,210,0,,0,0,0
492,Shaymin,,,253,,,,2,21,Gratitude,green,,-1,45,64,100,,0,0,0
493,Arceus,,,254,,,,32,3200,Alpha,gray,,-1,3,255,0,,0,0,0
494,Pokemon494,,,0,,,,0,0,,,,-1,3,255,0,,0,0,0
495,Pokemon495,,,0,,,,0,0,,,,-1,3,255,0,,0,0,0
496,Deoxys,attack,386,202,,,,17,608,DNA,red,rare,-1,3,215,0,,0,0,0
497,Deoxys,defense,386,202,,,,17,608,DNA,red,rare,-1,3,215,0,,0,0,0
498,Deoxys,speed,386,202,,,,17,608,DNA,red,rare,-1,3,215,0,,0,0,0
499,Wormadam,ground,413,213,,,,5,65,Bagworm,gray,,8,45,159,70,,0,0,0
500,Wormadam,steel,413,213,,,,5,65,Bagworm,gray,,8,45,159,70,,0,0,0
