item_id,local_language_id,short_effect,effect
135,9,,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/4 its max HP.

Used on a party Pokémon
:   Restores 1/4 the Pokémon's max [HP]{mechanic:hp}."
136,9,,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes spicy flavors (i.e., has a nature that lowers [Attack]{mechanic:attack}), it will also become [confused]{mechanic:confusion}."
137,9,,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes dry flavors (i.e., has a nature that lowers [Special Attack]{mechanic:special attack}), it will also become [confused]{mechanic:confusion}."
138,9,,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes sweet flavors (i.e., has a nature that lowers [Speed]{mechanic:speed}), it will also become [confused]{mechanic:confusion}."
139,9,,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes bitter flavors (i.e., has a nature that lowers [Special Defense]{mechanic:special defense}), it will also become [confused]{mechanic:confusion}."
140,9,,"Held in battle
:   When the holder has 1/2 its max [HP]{mechanic:hp} remaining or less, it consumes this item to restore 1/8 its max HP.  If the holder dislikes sour flavors (i.e., has a nature that lowers [Defense]{mechanic:defense}), it will also become [confused]{mechanic:confusion}."
141,9,,No effect; only useful for planting and cooking.
142,9,,No effect; only useful for planting and cooking.
143,9,,No effect; only useful for planting and cooking.
144,9,,No effect; only useful for planting and cooking.
145,9,,No effect; only useful for planting and cooking.
146,9,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [HP]{mechanic:hp} [effort]{mechanic:effort} by 10."
147,9,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Attack]{mechanic:attack} [effort]{mechanic:effort} by 10."
148,9,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Defense]{mechanic:defense} [effort]{mechanic:effort} by 10."
149,9,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Special Attack]{mechanic:special attack} [effort]{mechanic:effort} by 10."
150,9,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Special Defense]{mechanic:special defense} [effort]{mechanic:effort} by 10."
151,9,,"Used on a party Pokémon
:   Increases [happiness]{mechanic:happiness} by 10/5/2.  Lowers [Speed]{mechanic:speed} [effort]{mechanic:effort} by 10."
152,9,,No effect; only useful for planting and cooking.
153,9,,No effect; only useful for planting and cooking.
154,9,,No effect; only useful for planting and cooking.
155,9,,No effect; only useful for planting and cooking.
156,9,,No effect; only useful for planting and cooking.
157,9,,No effect; only useful for planting and cooking.
158,9,,No effect; only useful for planting and cooking.
159,9,,No effect; only useful for planting and cooking.
160,9,,No effect; only useful for planting and cooking.
161,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [fire]{type:fire}-type damage, it consumes this item to halve the amount of damage taken."
162,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [water]{type:water}-type damage, it consumes this item to halve the amount of damage taken."
163,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [electric]{type:electric}-type damage, it consumes this item to halve the amount of damage taken."
164,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [grass]{type:grass}-type damage, it consumes this item to halve the amount of damage taken."
165,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [ice]{type:ice}-type damage, it consumes this item to halve the amount of damage taken."
166,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [fighting]{type:fighting}-type damage, it consumes this item to halve the amount of damage taken."
167,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [poison]{type:poison}-type damage, it consumes this item to halve the amount of damage taken."
168,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [ground]{type:ground}-type damage, it consumes this item to halve the amount of damage taken."
169,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [flying]{type:flying}-type damage, it consumes this item to halve the amount of damage taken."
170,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [psychic]{type:psychic}-type damage, it consumes this item to halve the amount of damage taken."
171,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [bug]{type:bug}-type damage, it consumes this item to halve the amount of damage taken."
172,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [rock]{type:rock}-type damage, it consumes this item to halve the amount of damage taken."
173,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [ghost]{type:ghost}-type damage, it consumes this item to halve the amount of damage taken."
174,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [dragon]{type:dragon}-type damage, it consumes this item to halve the amount of damage taken."
175,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [dark]{type:dark}-type damage, it consumes this item to halve the amount of damage taken."
176,9,,"Held in battle
:   When the holder would take [super-effective]{mechanic:super-effective} [steel]{type:steel}-type damage, it consumes this item to halve the amount of damage taken."
177,9,,"Held in battle
:   When the holder would take [normal]{type:normal}-type damage, it consumes this item to halve the amount of damage taken."
178,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Attack]{mechanic:attack} by one stage."
179,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Defense]{mechanic:defense} by one stage."
180,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Speed]{mechanic:speed} by one stage."
181,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Special Attack]{mechanic:special attack} by one stage."
182,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [Special Defense]{mechanic:special defense} by one stage."
183,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} its [critical hit chance]{mechanic:critical hit chance} by one stage."
184,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item to [raise]{mechanic:raise} a random stat by two stages."
185,9,,"Held in battle
:   When the holder takes [super-effective]{mechanic:super-effective} damage, it consumes this item to restore 1/4 its max [HP]{mechanic:hp}."
186,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item, and its next used move has 1.2× its normal accuracy."
187,9,,"Held in battle
:   When the holder has 1/4 its max [HP]{mechanic:hp} remaining or less, it consumes this item.  On the following turn, the holder will act first among moves with the same [priority]{mechanic:priority}, regardless of [Speed]{mechanic:speed}."
188,9,,"Held in battle
:   When the holder takes [physical]{mechanic:physical} damage, it consumes this item to damage the attacking Pokémon for 1/8 its max [HP]{mechanic:hp}."
189,9,,"Held in battle
:   When the holder takes [special]{mechanic:special} damage, it consumes this item to damage the attacking Pokémon for 1/8 its max [HP]{mechanic:hp}."
190,9,Increases the holder's evasion by 11 1/9%.,"Held in battle
:   Moves targeting the holder have 0.9× [chance to hit]{mechanic:chance to hit}."
191,9,"Held: Resets lowered stats to normal at end of turn, but only once.","Held in battle
:   At the end of each turn, if any of the holder's stats have a negative [stat modifier]{mechanic:stat modifier}, the holder consumes this item to remove the modifiers from those stats."
192,9,"Held: Holder gains double effort from battles, but has halved Speed.","Held
:   When the holder would gain [effort]{mechanic:effort} due to battle, it gains double that effort instead.

Held in battle
:   Holder has half its [Speed]{mechanic:speed}."
193,9,Held: Half the experience from a battle is split between Pokémon holding this item.,"Held
:   [Experience]{mechanic:experience} is split across two groups: Pokémon who participated in battle, and Pokémon holding this item.  Each Pokémon earns experience as though it had battled alone, divided by the number of Pokémon in its group, then divided by the number of groups. Pokémon holding this item who also participated in battle effectively earn experience twice.

    [Fainted]{mechanic:fainted} Pokémon never earn experience, and empty groups are
ignored; thus, if a single Pokémon is holding this item and the only Pokémon who battled faints from [Explosion]{move:explosion}, the holder will gain full experience."
194,9,Held: Holder has a 3/16 chance to move first.,"Held in battle
:   Whenever the holder attempts to use a move, it has a 3/16 chance to act first among moves with the same [priority]{mechanic:priority}.  If multiple Pokémon have this effect at the same time, [Speed]{mechanic:speed} is the tie-breaker as normal, but the effect of [Trick Room]{move:trick-room} is ignored."
195,9,Held: Doubles the happiness earned by the holder.,"Held
:   When the holder would earn [happiness]{mechanic:happiness} for any reason, it earns twice that amount instead."
196,9,Held: Consumed to cure attraction.,"Held in battle
:   When the holder is [attracted]{move:attract}, it consumes this item to cure the attraction."
197,9,"Held: Increases Attack by 50%, but restricts the holder to only one move.","Held in battle
:   Holder has 1.5× its [Attack]{mechanic:attack}.  When the holder attempts to use a move, all its other moves are disabled until it leaves battle or loses this item.

    The restriction ends even if this item is swapped for another Choice item
via [Trick]{move:trick} or [Switcheroo]{move:switcheroo}."
198,9,Held: Damaging moves gain a 10% chance to make their target flinch.,"Held in battle
:   Holder's damaging moves have a 10% chance to make their target [flinch]{mechanic:flinch}.  This chance applies independently to each hit of a multi-hit move.

    This item's chance is rolled independently of any other move effects;
e.g., a move with a 30% chance to flinch normally will have a 37% total chance to flinch when used with this item, because 3% of the time, both effects activate.

Held by [Poliwhirl]{pokemon:poliwhirl} or [Slowbro]{pokemon:slowbro}
:   Holder evolves into [Politoed]{pokemon:politoed} or [Slowking]{pokemon:slowking}, respectively, when traded."
199,9,Held: Bug-type moves have 20% more power.,"Held in battle
:   Holder's [Bug]{type:bug}-type moves have 1.2× their power.
"
200,9,Held: Doubles the money earned from a battle.,"Held
:   If the holder participated in a trainer battle, the trainer earns twice the usual prize money.  This effect applies even if the holder [fainted]{mechanic:fainted}.

    This effect does not stack with any other similar effect."
201,9,,Held by lead Pokémon: Prevents wild battles with Pokémon that are lower level than the holder.
202,9,,Held by Latias or Latios: Increases the holder's Special Attack and Special Defense by 50%.
203,9,,Held by Clamperl: Doubles the holder's Special Attack.  Evolves the holder into Huntail when traded.
204,9,,Held by Clamperl: Doubles the holder's Special Defense.  Evolves the holder into Gorebyss when traded.
205,9,,"Held: In wild battles, attempts to run away on the holder's turn will always succeed."
206,9,,"Held: Prevents the holder from evolving naturally.  Evolution initiated by the trainer (Stones, etc) will still work."
207,9,,"Held: If the holder is attacked for regular damage that would faint it, this item has a 10% chance to prevent the holder's HP from lowering below 1."
208,9,,Held: Increases any Exp the holder gains by 50%.
209,9,,Held: Raises the holder's critical hit counter by 1.
210,9,,"Held: Increases the power of the holder's Steel moves by 20%.
Held by Onix or Scyther: Evolves the holder into Steelix or Scizor when traded, respectively."
211,9,,Held: Heals the holder by 1/16 its max HP at the end of each turn.
212,9,,Held by Seadra: Evolves the holder into Kingdra when traded.
213,9,,Held by Pikachu: Doubles the holder's initial Attack and Special Attack.
214,9,,Held: Increases the power of the holder's Ground moves by 20%.
215,9,,Held: Increases the power of the holder's Rock moves by 20%.
216,9,,Held: Increases the power of the holder's Grass moves by 20%.
217,9,,Held: Increases the power of the holder's Dark moves by 20%.
218,9,,Held: Increases the power of the holder's Fighting moves by 20%.
219,9,,Held: Increases the power of the holder's Electric moves by 20%.
220,9,,Held: Increases the power of the holder's Water moves by 20%.
221,9,,Held: Increases the power of the holder's Flying moves by 20%.
222,9,,Held: Increases the power of the holder's Poison moves by 20%.
223,9,,Held: Increases the power of the holder's Ice moves by 20%.
224,9,,Held: Increases the power of the holder's Ghost moves by 20%.
225,9,,Held: Increases the power of the holder's Psychic moves by 20%.
226,9,,Held: Increases the power of the holder's Fire moves by 20%.
227,9,,Held: Increases the power of the holder's Dragon moves by 20%.
228,9,,Held: Increases the power of the holder's Normal moves by 20%.
229,9,,Held by Porygon: Evolves the holder into Porygon2 when traded.
230,9,,Held: Heals the holder by 1/8 of any damage it inflicts.
231,9,,Held: Increases the power of the holder's Water moves by 20%.
232,9,,Held: Increases the holder's Evasion by 5%.
233,9,,Held by Chansey: Raises the holder's critical hit counter by 2.
234,9,,Held by Ditto: Increases the holder's initial Defense and Special Defense by 50%.
235,9,,Held by Cubone or Marowak: Doubles the holder's Attack.
236,9,,Held by Farfetch'd: Raises the holder's critical hit counter by 2.
237,9,,Held: Increases the holder's Coolness during a Super Contest's Visual Competition.
238,9,,Held: Increases the holder's Beauty during a Super Contest's Visual Competition.
239,9,,Held: Increases the holder's Cuteness during a Super Contest's Visual Competition.
240,9,,Held: Increases the holder's Smartness during a Super Contest's Visual Competition.
241,9,,Held: Increases the holder's Toughness during a Super Contest's Visual Competition.
242,9,,Held: Increases the accuracy of any move the holder uses by 10% (multiplied; i.e. 70% accuracy is increased to 77%).
243,9,,Held: Increases the power of the holder's physical moves by 10%.
244,9,,Held: Increases the power of the holder's special moves by 10%.
245,9,,"Held: When the holder hits with a super-effective move, its power is raised by 20%."
246,9,,"Held: The holder's Reflect and Light Screen will create effects lasting for eight turns rather than five.  As this item affects the move rather than the barrier itself, the effect is not lost if the holder leaves battle or drops this item."
247,9,,"Held: Damage from the holder's moves is increased by 30%.  On each turn the holder uses a damage-inflicting move, it takes 10% its max HP in damage."
248,9,,"Held: Whenever the holder uses a move that requires a turn to charge first (Bounce, Dig, Dive, Fly, Razor Wind, Skull Bash, Sky Attack, or Solarbeam), this item is consumed and the charge is skipped.  Skull Bash still provides a Defense boost."
249,9,,Held: Badly poisons the holder at the end of each turn.
250,9,,Held: Burns the holder at the end of each turn.
251,9,,Held by Ditto: Doubles the holder's initial Speed.
252,9,,"Held: If the holder has full HP and is attacked for regular damage that would faint it, this item is consumed and prevents the holder's HP from lowering below 1.  This effect works against multi-hit attacks, but does not work against the effects of Doom Desire or Future Sight."
253,9,,"Held: Raises the holder's Accuracy by 20% when it goes last.
Ingame description is incorrect."
254,9,,"Held: Each time the holder uses the same move consecutively, its power is increased by another 10% of its original, to a maximum of 100%."
255,9,,"Held: Decreases the holder's Speed by 50%.  If the holder is Flying or has Levitate, it takes regular damage from Ground attacks and is suspectible to Spikes and Toxic Spikes."
256,9,,"Held: The holder will go last within its move's priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room."
257,9,,"Held: When the holder becomes Attracted, the Pokémon it is Attracted to becomes Attracted back."
258,9,,"Held: If the holder is Poison-type, restores 1/16 max HP at the end of each turn.  Otherwise, damages the holder by 1/16 its max HP at the end of each turn."
259,9,,"Held: The holder's Hail will create a hailstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
260,9,,"Held: The holder's Sandstorm will create a sandstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
261,9,,"Held: The holder's Sunny Day will create sunshine lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
262,9,,"Held: The holder's Rain Dance will create rain lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."
263,9,,Held: Increases the duration of the holder's multiturn (2-5 turn) moves by three turns.
264,9,,"Held: Increases the holder's Speed by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.
(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)"
265,9,,"Held: Damaged the holder for 1/8 its max HP.  When the holder is struck by a contact move, damages the attacker for 1/8 its max HP; if the attacker is not holding an item, it will take this item."
266,9,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
267,9,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
268,9,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Special Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
269,9,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Special Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
270,9,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Speed effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
271,9,,"Held: Decreases the holder's Speed by 50%.  Whenever the holder gains HP effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."
272,9,,Held: The holder is unaffected by any moves or abilities that would prevent it from actively leaving battle.
273,9,,"Held: HP restored from Absorb, Aqua Ring, Drain Punch, Dream Eater, Giga Drain, Ingrain, Leech Life, Leech Seed, and Mega Drain is increased by 30%.  Damage inflicted is not affected."
274,9,,"Held: Increases the holder's Special Attack by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.
(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)"
275,9,,"Held: Increases the power of the holder's Fire moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Fire."
276,9,,"Held: Increases the power of the holder's Water moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Water."
277,9,,"Held: Increases the power of the holder's Electric moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Electric."
278,9,,"Held: Increases the power of the holder's Grass moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Grass."
279,9,,"Held: Increases the power of the holder's Ice moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ice."
280,9,,"Held: Increases the power of the holder's Fighting moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Fighting."
281,9,,"Held: Increases the power of the holder's Poison moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Poison."
282,9,,"Held: Increases the power of the holder's Ground moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ground."
283,9,,"Held: Increases the power of the holder's Flying moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Flying."
284,9,,"Held: Increases the power of the holder's Psychic moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Psychic."
285,9,,"Held: Increases the power of the holder's Bug moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Bug."
286,9,,"Held: Increases the power of the holder's Rock moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Rock."
287,9,,"Held: Increases the power of the holder's Ghost moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Ghost."
288,9,,"Held: Increases the power of the holder's Dragon moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Dragon."
289,9,,"Held: Increases the power of the holder's Dark moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Dark."
290,9,,"Held: Increases the power of the holder's Steel moves by 20%.
Held by a Multitype Pokémon: Holder's type becomes Steel."
291,9,,Held: Increases the power of the holder's Psychic moves by 20%.
292,9,,Held: Increases the power of the holder's Rock moves by 20%.
293,9,,"Held: The holder will go last within its move's priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room."
294,9,,Held: Increases the power of the holder's Water moves by 20%.
295,9,,Held: Increases the power of the holder's Grass moves by 20%.
296,9,,Held: Doubles the money the trainer receives after an in-game trainer battle.  This effect cannot apply more than once to the same battle.
297,9,,Held by lead Pokémon: Prevents wild battles with Pokémon that are lower level than the holder.
298,9,,Held by Rhydon: Evolves the holder into Rhyperior when traded.
299,9,,Held by Electabuzz: Evolves the holder into Electivire when traded.
300,9,,Held by Magmar: Evolves the holder into Magmortar when traded.
301,9,,Held by Porygon2: Evolves the holder into Porygon-Z when traded.
302,9,,Held by Dusclops: Evolves the holder into Dusknoir when traded.
303,9,,"Held: Raises the holder's critical hit counter by 1.
Held by Sneasel: Evolves the holder into Weavile when it levels up during the night."
304,9,,"Held: When the holder attacks with most damaging moves, provides an extra 11.7% (30/256) chance for the target to flinch.
Held by Gligar: Evolves the holder into Gliscor when traded."
305,9,,Teaches Focus Punch to a compatible Pokémon.
306,9,,Teaches Dragon Claw to a compatible Pokémon.
307,9,,Teaches Water Pulse to a compatible Pokémon.
308,9,,Teaches Calm Mind to a compatible Pokémon.
309,9,,Teaches Roar to a compatible Pokémon.
310,9,,Teaches Toxic to a compatible Pokémon.
311,9,,Teaches Hail to a compatible Pokémon.
312,9,,Teaches Bulk Up to a compatible Pokémon.
313,9,,Teaches Bullet Seed to a compatible Pokémon.
314,9,,Teaches Hidden Power to a compatible Pokémon.
315,9,,Teaches Sunny Day to a compatible Pokémon.
316,9,,Teaches Taunt to a compatible Pokémon.
317,9,,Teaches Ice Beam to a compatible Pokémon.
318,9,,Teaches Blizzard to a compatible Pokémon.
319,9,,Teaches Hyper Beam to a compatible Pokémon.
320,9,,Teaches Light Screen to a compatible Pokémon.
321,9,,Teaches Protect to a compatible Pokémon.
322,9,,Teaches Rain Dance to a compatible Pokémon.
323,9,,Teaches Giga Drain to a compatible Pokémon.
324,9,,Teaches Safeguard to a compatible Pokémon.
325,9,,Teaches Frustration to a compatible Pokémon.
326,9,,Teaches SolarBeam to a compatible Pokémon.
327,9,,Teaches Iron Tail to a compatible Pokémon.
328,9,,Teaches Thunderbolt to a compatible Pokémon.
329,9,,Teaches Thunder to a compatible Pokémon.
330,9,,Teaches Earthquake to a compatible Pokémon.
331,9,,Teaches Return to a compatible Pokémon.
332,9,,Teaches Dig to a compatible Pokémon.
333,9,,Teaches Psychic to a compatible Pokémon.
334,9,,Teaches Shadow Ball to a compatible Pokémon.
335,9,,Teaches Brick Break to a compatible Pokémon.
336,9,,Teaches Double Team to a compatible Pokémon.
337,9,,Teaches Reflect to a compatible Pokémon.
338,9,,Teaches Shock Wave to a compatible Pokémon.
339,9,,Teaches Flamethrower to a compatible Pokémon.
340,9,,Teaches Sludge Bomb to a compatible Pokémon.
341,9,,Teaches Sandstorm to a compatible Pokémon.
342,9,,Teaches Fire Blast to a compatible Pokémon.
343,9,,Teaches Rock Tomb to a compatible Pokémon.
344,9,,Teaches Aerial Ace to a compatible Pokémon.
345,9,,Teaches Torment to a compatible Pokémon.
346,9,,Teaches Facade to a compatible Pokémon.
347,9,,Teaches Secret Power to a compatible Pokémon.
348,9,,Teaches Rest to a compatible Pokémon.
349,9,,Teaches Attract to a compatible Pokémon.
350,9,,Teaches Thief to a compatible Pokémon.
351,9,,Teaches Steel Wing to a compatible Pokémon.
352,9,,Teaches Skill Swap to a compatible Pokémon.
353,9,,Teaches Snatch to a compatible Pokémon.
354,9,,Teaches Overheat to a compatible Pokémon.
355,9,,Teaches Roost to a compatible Pokémon.
356,9,,Teaches Focus Blast to a compatible Pokémon.
357,9,,Teaches Energy Ball to a compatible Pokémon.
358,9,,Teaches False Swipe to a compatible Pokémon.
359,9,,Teaches Brine to a compatible Pokémon.
360,9,,Teaches Fling to a compatible Pokémon.
361,9,,Teaches Charge Beam to a compatible Pokémon.
362,9,,Teaches Endure to a compatible Pokémon.
363,9,,Teaches Dragon Pulse to a compatible Pokémon.
364,9,,Teaches Drain Punch to a compatible Pokémon.
365,9,,Teaches Will-O-Wisp to a compatible Pokémon.
366,9,,Teaches Silver Wind to a compatible Pokémon.
367,9,,Teaches Embargo to a compatible Pokémon.
368,9,,Teaches Explosion to a compatible Pokémon.
369,9,,Teaches Shadow Claw to a compatible Pokémon.
370,9,,Teaches Payback to a compatible Pokémon.
371,9,,Teaches Recycle to a compatible Pokémon.
372,9,,Teaches Giga Impact to a compatible Pokémon.
373,9,,Teaches Rock Polish to a compatible Pokémon.
374,9,,Teaches Flash to a compatible Pokémon.
375,9,,Teaches Stone Edge to a compatible Pokémon.
376,9,,Teaches Avalanche to a compatible Pokémon.
377,9,,Teaches Thunder Wave to a compatible Pokémon.
378,9,,Teaches Gyro Ball to a compatible Pokémon.
379,9,,Teaches Swords Dance to a compatible Pokémon.
380,9,,Teaches Stealth Rock to a compatible Pokémon.
381,9,,Teaches Psych Up to a compatible Pokémon.
382,9,,Teaches Captivate to a compatible Pokémon.
383,9,,Teaches Dark Pulse to a compatible Pokémon.
384,9,,Teaches Rock Slide to a compatible Pokémon.
385,9,,Teaches X-Scissor to a compatible Pokémon.
386,9,,Teaches Sleep Talk to a compatible Pokémon.
387,9,,Teaches Natural Gift to a compatible Pokémon.
388,9,,Teaches Poison Jab to a compatible Pokémon.
389,9,,Teaches Dream Eater to a compatible Pokémon.
390,9,,Teaches Grass Knot to a compatible Pokémon.
391,9,,Teaches Swagger to a compatible Pokémon.
392,9,,Teaches Pluck to a compatible Pokémon.
393,9,,Teaches U-Turn to a compatible Pokémon.
394,9,,Teaches Substitute to a compatible Pokémon.
395,9,,Teaches Flash Cannon to a compatible Pokémon.
396,9,,Teaches Trick Room to a compatible Pokémon.
397,9,,Teaches Cut to a compatible Pokémon.
398,9,,Teaches Fly to a compatible Pokémon.
399,9,,Teaches Surf to a compatible Pokémon.
400,9,,Teaches Strength to a compatible Pokémon.
401,9,,Teaches Defog to a compatible Pokémon.
402,9,,Teaches Rock Smash to a compatible Pokémon.
403,9,,Teaches Waterfall to a compatible Pokémon.
404,9,,Teaches Rock Climb to a compatible Pokémon.
405,9,,Sends the trainer to the Underground.  Only usable outside.
406,9,,Unused.
407,9,,Unused.
408,9,,"Designates several nearby patches of grass as containing Pokémon, some of which may be special radar-only Pokémon.  Successive uses in a certain way create chains of encounters with the same species; longer chains increase the chance that a shiny Pokémon of that species will appear."
409,9,,Tracks Battle Points.
410,9,,Records some of the trainer's activities for the day.
411,9,,Contains Seals used for decorating Pokéballs.
412,9,,Contains Pokémon Accessories.
413,9,,Unused.
414,9,,"Contains friend codes for up to 32 other players, as well as their sprite, gender, and basic statistics for those that have been seen on WFC."
415,9,,Opens the front door of the Valley Windworks.  Reusable.
416,9,,Given to Cynthia's grandmother to get the Surf HM.
417,9,,Grants access to Galactic HQ in Veilstone City.
418,9,,Unused.
419,9,,"Displays a map of the region including the trainer's position, location names, visited towns, gym locations, and where the trainer has been walking recently."
420,9,,"Reveals trainers who want a rematch, by showing !! over their heads.  Each use drains the battery; requires 100 steps to charge."
421,9,,"Contains the Coins used by the Game Corner, to a maximum of 50,000."
422,9,,"Used to find Pokémon on the Old Rod list for an area, which are generally Magikarp or similar."
423,9,,"Used to find Pokémon on the Good Rod list for an area, which are generally mediocre."
424,9,,"Used to find Pokémon on the Super Rod list for an area, which are generally the best available there."
425,9,,Waters Berry plants.
426,9,,Contains up to 100 Poffins.
427,9,,"Increases movement speed outside or in caves.  In high gear, allows the trainer to hop over some rocks and ascend muddy slopes."
428,9,,Opens the locked building in the lakeside resort.
429,9,,Grants access to Flower Paradise and Shaymin.
430,9,,"Cures the sailor's son of his nightmares; no reward, only a side effect of seeing Cresselia."
431,9,,Provides access to Newmoon Island and Darkrai.
432,9,,Supposedly related to t
433,9,,Unused.
434,9,,Allows the trainer to enter Contests.
435,9,,Unused.
436,9,,"Given to the trainer's rival in Jubilife City.  Contains two Town Maps, one of which is given to the trainer upon delivery."
437,9,,One of three coupons needed to receive a Pokétch.
438,9,,One of three coupons needed to receive a Pokétch.
439,9,,One of three coupons needed to receive a Pokétch.
440,9,,Grants access to the Team Galactic warehouse in Veilstone City.
