id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id,z_power,z_effect_id,dynamax_power
382,me-first,4,1,,20,,0,2,1,242,,3,,1,,14,
383,copycat,4,1,,20,,0,7,1,243,,1,,12,,16,
384,power-swap,4,14,,10,,0,10,1,244,,2,,16,,13,
385,guard-swap,4,14,,10,,0,10,1,245,,3,,16,,13,
386,punishment,4,17,,5,100,0,10,2,246,,4,,23,160,,130
387,last-resort,4,1,140,5,100,0,10,2,247,,3,,21,200,,140
388,worry-seed,4,12,,10,100,0,10,1,248,,2,,19,,13,
389,sucker-punch,4,17,70,5,100,1,10,2,249,,4,,1,140,,120
390,toxic-spikes,4,4,,20,,0,6,1,250,,4,,13,,4,
391,heart-swap,4,14,,10,,0,10,1,251,,1,,16,,25,
392,aqua-ring,4,11,,20,,0,7,1,252,,2,,8,,4,
393,magnet-rise,4,13,,10,,0,7,1,253,,3,,13,,19,
394,flare-blitz,4,10,120,15,100,0,10,2,254,10,4,,22,190,,140
395,force-palm,4,2,60,10,100,0,10,2,7,30,1,,18,120,,80
396,aura-sphere,4,2,80,20,,0,10,3,18,,2,,17,160,,90
397,rock-polish,4,6,,20,,0,7,1,53,,5,,1,,26,
398,poison-jab,4,4,80,20,100,0,10,2,3,30,4,,4,160,,90
399,dark-pulse,4,17,80,15,100,0,10,3,32,20,1,,17,160,,130
400,night-slash,4,17,70,15,100,0,10,2,44,,2,,5,140,,120
401,aqua-tail,4,11,90,10,90,0,10,2,1,,3,,5,175,,130
402,seed-bomb,4,12,80,15,100,0,10,2,1,,4,,5,160,,130
403,air-slash,4,3,75,15,95,0,10,3,32,30,1,,17,140,,130
404,x-scissor,4,7,80,15,100,0,10,2,1,,2,,17,160,,130
405,bug-buzz,4,7,90,10,100,0,10,3,73,10,3,,4,175,,130
406,dragon-pulse,4,16,85,10,100,0,10,3,1,,4,,4,160,,130
407,dragon-rush,4,16,100,10,75,0,10,2,32,20,1,,18,180,,130
408,power-gem,4,6,80,20,100,0,10,3,1,,2,,5,160,,130
409,drain-punch,4,2,75,10,100,0,10,2,4,,2,,20,140,,90
410,vacuum-wave,4,2,40,30,100,1,10,3,104,,4,,1,100,,70
411,focus-blast,4,2,120,5,70,0,10,3,73,10,1,,17,190,,95
412,energy-ball,4,12,90,10,100,0,10,3,73,10,2,,17,175,,130
413,brave-bird,4,3,120,15,100,0,10,2,199,,3,,18,190,,140
414,earth-power,4,5,90,10,100,0,10,3,73,10,4,,18,175,,130
415,switcheroo,4,17,,10,100,0,10,1,178,,1,,12,,14,
416,giga-impact,4,1,150,5,90,0,10,2,81,,2,,22,200,,150
417,nasty-plot,4,17,,20,,0,7,1,54,,3,,11,,26,
418,bullet-punch,4,9,40,30,100,1,10,2,104,,4,,1,100,,90
419,avalanche,4,15,60,10,100,-4,10,2,186,,1,,15,120,,110
420,ice-shard,4,15,40,30,100,1,10,2,104,,2,,1,100,,90
421,shadow-claw,4,8,70,15,100,0,10,2,44,,3,,17,140,,120
422,thunder-fang,4,13,65,15,95,0,10,2,276,10,4,,5,120,,120
423,ice-fang,4,15,65,15,95,0,10,2,275,10,1,,5,120,,120
424,fire-fang,4,10,65,15,95,0,10,2,274,10,2,,5,120,,120
425,shadow-sneak,4,8,40,30,100,1,10,2,104,,4,,1,100,,90
426,mud-bomb,4,5,65,10,85,0,10,3,74,30,4,,18,120,,120
427,psycho-cut,4,14,70,20,100,0,10,2,44,,1,,17,140,,120
428,zen-headbutt,4,14,80,15,90,0,10,2,32,20,2,,18,160,,130
429,mirror-shot,4,9,65,10,85,0,10,3,74,30,3,,17,120,,120
430,flash-cannon,4,9,80,10,100,0,10,3,73,10,4,,17,160,,130
431,rock-climb,4,1,90,20,85,0,10,2,77,20,1,,18,175,,130
432,defog,4,3,,15,,0,10,1,259,,2,,13,,16,
433,trick-room,4,14,,5,,-7,12,1,260,,3,,14,,16,
434,draco-meteor,4,16,130,5,90,0,10,3,205,100,4,,22,195,,140
435,discharge,4,13,80,15,100,0,9,3,7,30,1,,17,160,,130
436,lava-plume,4,10,80,15,100,0,9,3,5,30,5,,17,160,,130
437,leaf-storm,4,12,130,5,90,0,10,3,205,100,3,,22,195,,140
438,power-whip,4,12,120,10,85,0,10,2,1,,2,,5,190,,140
439,rock-wrecker,4,6,150,5,90,0,10,2,81,,5,,22,200,,150
440,cross-poison,4,4,70,20,100,0,10,2,210,10,1,,5,140,,85
441,gunk-shot,4,4,120,5,80,0,10,2,3,30,1,,5,190,,95
442,iron-head,4,9,80,15,100,0,10,2,32,30,5,,18,160,,130
443,magnet-bomb,4,9,60,20,,0,10,2,18,,1,,5,120,,110
444,stone-edge,4,6,100,5,80,0,10,2,44,,5,,4,180,,130
445,captivate,4,1,,20,100,0,11,1,266,,2,,19,,11,
446,stealth-rock,4,6,,20,,0,6,1,267,,1,,13,,4,
447,grass-knot,4,12,,20,100,0,10,3,197,,4,,4,160,,130
448,chatter,4,3,65,20,100,0,10,3,268,100,4,,23,120,,120
449,judgment,4,1,100,10,100,0,10,3,269,,4,,14,180,,130
450,bug-bite,4,7,60,20,100,0,10,2,225,,5,,12,120,,110
451,charge-beam,4,13,50,10,90,0,10,3,277,70,2,,17,100,,100
452,wood-hammer,4,12,120,15,100,0,10,2,199,,5,,18,190,,140
453,aqua-jet,4,11,40,20,100,1,10,2,104,,2,,1,100,,90
454,attack-order,4,7,90,15,100,0,10,2,44,,4,,4,175,,130
455,defend-order,4,7,,10,,0,7,1,207,,4,,11,,4,
456,heal-order,4,7,,10,,0,7,1,33,,4,,8,,26,
457,head-smash,4,6,150,5,80,0,10,2,270,,5,,22,200,,150
458,double-hit,4,1,35,10,90,0,10,2,45,,4,,7,140,,120
459,roar-of-time,4,16,150,5,90,0,10,3,81,,1,,22,200,,150
460,spacial-rend,4,16,100,5,95,0,10,3,44,,5,,4,180,,130
461,lunar-dance,4,14,,10,,0,7,1,271,,2,,8,,,
462,crush-grip,4,1,,5,100,0,10,2,238,,5,,15,190,,140
463,magma-storm,4,10,100,5,75,0,10,3,43,100,5,,7,180,,130
464,dark-void,4,17,,10,50,0,11,1,2,,4,,19,,26,
465,seed-flare,4,12,120,5,85,0,10,3,272,40,1,,22,190,,140
466,ominous-wind,4,8,60,5,100,0,10,3,141,10,4,,11,120,,110
467,shadow-force,4,8,120,5,100,0,10,2,273,,4,,22,190,,140
468,hone-claws,5,17,,15,,0,7,1,278,,,,,,1,
469,wide-guard,5,6,,10,,3,4,1,279,,,,,,4,
470,guard-split,5,14,,10,,0,10,1,280,,,,,,13,
471,power-split,5,14,,10,,0,10,1,281,,,,,,13,
472,wonder-room,5,14,,10,,0,12,1,282,,,,,,10,
473,psyshock,5,14,80,10,100,0,10,3,283,,,,,160,,130
474,venoshock,5,4,65,10,100,0,10,3,284,,,,,120,,85
475,autotomize,5,9,,15,,0,7,1,285,,,,,,26,
476,rage-powder,5,7,,20,,2,7,1,173,,,,,,26,
477,telekinesis,5,14,,15,,0,10,1,286,,,,,,7,
478,magic-room,5,14,,10,,0,12,1,287,,,,,,10,
479,smack-down,5,6,50,15,100,0,10,2,288,100,,,,100,,100
480,storm-throw,5,2,60,10,100,0,10,2,289,,,,,120,,80
481,flame-burst,5,10,70,15,100,0,10,3,290,,,,,140,,120
482,sludge-wave,5,4,95,10,100,0,9,3,3,10,,,,175,,90
483,quiver-dance,5,7,,20,,0,7,1,291,,,,,,26,
484,heavy-slam,5,9,,10,100,0,10,2,292,,,,,160,,130
485,synchronoise,5,14,120,10,100,0,9,3,293,,,,,190,,140
486,electro-ball,5,13,,10,100,0,10,3,294,,,,,160,,130
487,soak,5,11,,20,100,0,10,1,295,,,,,,7,
488,flame-charge,5,10,50,20,100,0,10,2,296,100,,,,100,,100
489,coil,5,4,,20,,0,7,1,323,,,,,,26,
490,low-sweep,5,2,65,20,100,0,10,2,21,100,,,,120,,85
491,acid-spray,5,4,40,20,100,0,10,3,297,100,,,,100,,70
492,foul-play,5,17,95,15,100,0,10,2,298,,,,,175,,130
493,simple-beam,5,1,,15,100,0,10,1,299,,,,,,7,
494,entrainment,5,1,,15,100,0,10,1,300,,,,,,10,
495,after-you,5,1,,15,,0,10,1,301,,,,,,13,
496,round,5,1,60,15,100,0,10,3,302,,,,,120,,110
497,echoed-voice,5,1,40,15,100,0,10,3,303,,,,,100,,90
498,chip-away,5,1,70,20,100,0,10,2,304,,,,,140,,120
499,clear-smog,5,4,50,15,,0,10,3,305,,,,,100,,75
500,stored-power,5,14,20,10,100,0,10,3,306,,,,,160,,130
501,quick-guard,5,2,,15,,3,4,1,307,,,,,,4,
502,ally-switch,5,14,,15,,2,7,1,308,,,,,,14,
503,scald,5,11,80,15,100,0,10,3,5,30,,,,160,,130
504,shell-smash,5,1,,15,,0,7,1,309,,,,,,26,
505,heal-pulse,5,14,,10,,0,10,1,310,,,,,,26,
506,hex,5,8,65,10,100,0,10,3,311,,,,,160,,120
507,sky-drop,5,3,60,10,100,0,10,2,312,,,,,120,,110
508,shift-gear,5,9,,10,,0,7,1,313,,,,,,26,
509,circle-throw,5,2,60,10,90,-6,10,2,314,,,,,120,,80
510,incinerate,5,10,60,15,100,0,11,3,315,,,,,120,,110
511,quash,5,17,,15,100,0,10,1,316,,,,,,13,
512,acrobatics,5,3,55,15,100,0,10,2,318,,,,,100,,110
513,reflect-type,5,1,,15,,0,10,1,319,,,,,,7,
514,retaliate,5,1,70,5,100,0,10,2,320,,,,,140,,120
515,final-gambit,5,2,,5,100,0,10,3,321,,,,,180,,100
516,bestow,5,1,,15,,0,10,1,324,,,,,,14,
517,inferno,5,10,100,5,50,0,10,3,5,100,,,,180,,130
518,water-pledge,5,11,80,10,100,0,10,3,325,,,,,160,,130
519,fire-pledge,5,10,80,10,100,0,10,3,326,,,,,160,,130
520,grass-pledge,5,12,80,10,100,0,10,3,327,,,,,160,,130
521,volt-switch,5,13,70,20,100,0,10,3,229,,,,,140,,120
522,struggle-bug,5,7,50,20,100,0,11,3,72,100,,,,100,,100
523,bulldoze,5,5,60,20,100,0,9,2,71,100,,,,120,,110
524,frost-breath,5,15,60,10,90,0,10,3,289,100,,,,120,,110
525,dragon-tail,5,16,60,10,90,-6,10,2,314,,,,,120,,110
526,work-up,5,1,,30,,0,7,1,328,,,,,,1,
527,electroweb,5,13,55,15,95,0,11,3,21,100,,,,100,,110
528,wild-charge,5,13,90,15,100,0,10,2,49,,,,,175,,130
529,drill-run,5,5,80,10,95,0,10,2,44,,,,,160,,130
530,dual-chop,5,16,40,15,90,0,10,2,45,,,,,100,,130
531,heart-stamp,5,14,60,25,100,0,10,2,32,30,,,,120,,110
532,horn-leech,5,12,75,10,100,0,10,2,4,,,,,140,,130
533,sacred-sword,5,2,90,15,100,0,10,2,304,,,,,175,,90
534,razor-shell,5,11,75,10,95,0,10,2,70,50,,,,140,,130
535,heat-crash,5,10,,10,100,0,10,2,292,,,,,160,,130
536,leaf-tornado,5,12,65,10,90,0,10,3,74,50,,,,120,,120
537,steamroller,5,7,65,20,100,0,10,2,151,30,,,,120,,120
538,cotton-guard,5,12,,10,,0,7,1,329,,,,,,26,
539,night-daze,5,17,85,10,95,0,10,3,74,40,,,,160,,130
540,psystrike,5,14,100,10,100,0,10,3,283,,,,,180,,130
541,tail-slap,5,1,25,10,85,0,10,2,30,,,,,140,,130
542,hurricane,5,3,110,10,70,0,10,3,334,30,,,,185,,140
543,head-charge,5,1,120,15,100,0,10,2,49,,,,,190,,140
544,gear-grind,5,9,50,15,85,0,10,2,45,,,,,180,,130
545,searing-shot,5,10,100,5,100,0,9,3,5,30,,,,180,,130
546,techno-blast,5,1,120,5,100,0,10,3,269,,,,,190,,140
547,relic-song,5,1,75,10,100,0,11,3,330,10,,,,140,,130
548,secret-sword,5,2,85,10,100,0,10,3,283,,,,,160,,90
549,glaciate,5,15,65,10,95,0,11,3,331,100,,,,120,,120
550,bolt-strike,5,13,130,5,85,0,10,2,7,20,,,,195,,140
551,blue-flare,5,10,130,5,85,0,10,3,5,20,,,,195,,140
552,fiery-dance,5,10,80,10,100,0,10,3,277,50,,,,160,,130
553,freeze-shock,5,15,140,5,90,0,10,2,332,30,,,,200,,140
554,ice-burn,5,15,140,5,90,0,10,3,333,30,,,,200,,140
555,snarl,5,17,55,15,95,0,11,3,72,100,,,,100,,110
556,icicle-crash,5,15,85,10,90,0,10,2,32,30,,,,160,,130
557,v-create,5,10,180,5,95,0,10,2,335,100,,,,220,,150
558,fusion-flare,5,10,100,5,100,0,10,3,336,,,,,180,,130
559,fusion-bolt,5,13,100,5,100,0,10,2,337,,,,,180,,130
560,flying-press,6,2,100,10,95,0,10,2,338,,,,,170,,90
561,mat-block,6,2,,10,,0,4,1,377,,,,,,4,
562,belch,6,4,120,10,90,0,10,3,339,,,,,190,,95
563,rototiller,6,5,,10,,0,14,1,340,100,,,,,1,
564,sticky-web,6,7,,20,,0,6,1,341,,,,,,13,
565,fell-stinger,6,7,50,25,100,0,10,2,342,,,,,100,,100
566,phantom-force,6,8,90,10,100,0,10,2,273,,,,,175,,130
567,trick-or-treat,6,8,,20,100,0,10,1,343,,,,,,22,
568,noble-roar,6,1,,30,100,0,10,1,344,100,,,,,4,
569,ion-deluge,6,13,,25,,1,12,1,345,,,,,,7,
570,parabolic-charge,6,13,65,20,100,0,9,3,346,,,,,120,,120
571,forests-curse,6,12,,20,100,0,10,1,376,,,,,,22,
572,petal-blizzard,6,12,90,15,100,0,9,2,379,,,,,175,,130
573,freeze-dry,6,15,70,20,100,0,10,3,380,10,,,,140,,120
574,disarming-voice,6,18,40,15,,0,11,3,381,,,,,100,,90
575,parting-shot,6,17,,20,100,0,10,1,347,100,,,,,28,
576,topsy-turvy,6,17,,20,,0,10,1,348,,,,,,1,
577,draining-kiss,6,18,50,10,100,0,10,3,349,,,,,100,,100
578,crafty-shield,6,18,,10,,3,4,1,350,,,,,,10,
579,flower-shield,6,18,,10,,0,14,1,351,100,,,,,4,
580,grassy-terrain,6,12,,10,,0,12,1,352,,,,,,4,
581,misty-terrain,6,18,,10,,0,12,1,353,,,,,,10,
582,electrify,6,13,,20,,0,10,1,354,,,,,,7,
583,play-rough,6,18,90,10,90,0,10,2,69,10,,,,175,,130
584,fairy-wind,6,18,40,30,100,0,10,3,1,,,,,100,,90
585,moonblast,6,18,95,15,100,0,10,3,72,30,,,,175,,130
586,boomburst,6,1,140,10,100,0,9,3,379,,,,,200,,140
587,fairy-lock,6,18,,10,,0,12,1,355,,,,,,4,
588,kings-shield,6,9,,10,,4,7,1,356,,,,,,26,
589,play-nice,6,1,,20,,0,10,1,357,100,,,,,4,
590,confide,6,1,,20,,0,10,1,358,100,,,,,10,
591,diamond-storm,6,6,100,5,95,0,11,2,359,50,,,,180,,130
592,steam-eruption,6,11,110,5,95,0,10,3,5,30,,,,185,,140
593,hyperspace-hole,6,14,80,5,,0,10,3,360,,,,,160,,130
594,water-shuriken,6,11,15,20,100,1,10,3,361,,,,,100,,90
595,mystical-fire,6,10,75,10,100,0,10,3,72,100,,,,140,,130
596,spiky-shield,6,12,,10,,4,7,1,362,,,,,,4,
597,aromatic-mist,6,18,,20,,0,3,1,363,,,,,,11,
598,eerie-impulse,6,13,,15,100,0,10,1,62,,,,,,10,
599,venom-drench,6,4,,20,100,0,11,1,364,100,,,,,4,
600,powder,6,7,,20,100,1,10,1,378,,,,,,11,
601,geomancy,6,18,,10,,0,7,1,366,,,,,,22,
602,magnetic-flux,6,13,,20,,0,13,1,367,,,,,,10,
603,happy-hour,6,1,,30,,0,4,1,368,,,,,,22,
604,electric-terrain,6,13,,10,,0,12,1,369,,,,,,13,
605,dazzling-gleam,6,18,80,10,100,0,11,3,1,,,,,160,,130
606,celebrate,6,1,,40,,0,7,1,370,,,,,,22,
607,hold-hands,6,1,,40,,0,3,1,371,,,,,,22,
608,baby-doll-eyes,6,18,,30,100,1,10,1,365,,,,,,4,
609,nuzzle,6,13,20,20,100,0,10,2,372,100,,,,100,,90
610,hold-back,6,1,40,40,100,0,10,2,102,,,,,100,,90
611,infestation,6,7,20,20,100,0,10,3,43,100,,,,100,,90
612,power-up-punch,6,2,40,20,100,0,10,2,375,100,,,,100,,70
613,oblivion-wing,6,3,80,10,100,0,10,3,349,,,,,160,,130
614,thousand-arrows,6,5,90,10,100,0,11,2,373,100,,,,180,,130
615,thousand-waves,6,5,90,10,100,0,11,2,374,,,,,175,,130
616,lands-wrath,6,5,90,10,100,0,11,2,1,,,,,185,,130
617,light-of-ruin,6,18,140,5,90,0,10,3,270,,,,,200,,140
618,origin-pulse,6,11,110,10,85,0,11,3,1,,,,,185,,140
619,precipice-blades,6,5,120,10,85,0,11,2,1,,,,,190,,140
620,dragon-ascent,6,3,120,5,100,0,10,2,230,100,,,,190,,140
621,hyperspace-fury,6,17,100,5,,0,10,2,360,100,,,,180,,130
622,breakneck-blitz--physical,7,1,,1,,0,10,2,1,,,,,,,
623,breakneck-blitz--special,7,1,,1,,0,10,3,1,,,,,,,
624,all-out-pummeling--physical,7,2,,1,,0,10,2,1,,,,,,,
625,all-out-pummeling--special,7,2,,1,,0,10,3,1,,,,,,,
626,supersonic-skystrike--physical,7,3,,1,,0,10,2,1,,,,,,,
627,supersonic-skystrike--special,7,3,,1,,0,10,3,1,,,,,,,
628,acid-downpour--physical,7,4,,1,,0,10,2,1,,,,,,,
629,acid-downpour--special,7,4,,1,,0,10,3,1,,,,,,,
630,tectonic-rage--physical,7,5,,1,,0,10,2,1,,,,,,,
631,tectonic-rage--special,7,5,,1,,0,10,3,1,,,,,,,
632,continental-crush--physical,7,6,,1,,0,10,2,1,,,,,,,
633,continental-crush--special,7,6,,1,,0,10,3,1,,,,,,,
634,savage-spin-out--physical,7,7,,1,,0,10,2,1,,,,,,,
635,savage-spin-out--special,7,7,,1,,0,10,3,1,,,,,,,
636,never-ending-nightmare--physical,7,8,,1,,0,10,2,1,,,,,,,
637,never-ending-nightmare--special,7,8,,1,,0,10,3,1,,,,,,,
638,corkscrew-crash--physical,7,9,,1,,0,10,2,1,,,,,,,
639,corkscrew-crash--special,7,9,,1,,0,10,3,1,,,,,,,
640,inferno-overdrive--physical,7,10,,1,,0,10,2,1,,,,,,,
641,inferno-overdrive--special,7,10,,1,,0,10,3,1,,,,,,,
642,hydro-vortex--physical,7,11,,1,,0,10,2,1,,,,,,,
643,hydro-vortex--special,7,11,,1,,0,10,3,1,,,,,,,
644,bloom-doom--physical,7,12,,1,,0,10,2,1,,,,,,,
645,bloom-doom--special,7,12,,1,,0,10,3,1,,,,,,,
646,gigavolt-havoc--physical,7,13,,1,,0,10,2,1,,,,,,,
647,gigavolt-havoc--special,7,13,,1,,0,10,3,1,,,,,,,
648,shattered-psyche--physical,7,14,,1,,0,10,2,1,,,,,,,
649,shattered-psyche--special,7,14,,1,,0,10,3,1,,,,,,,
650,subzero-slammer--physical,7,15,,1,,0,10,2,1,,,,,,,
651,subzero-slammer--special,7,15,,1,,0,10,3,1,,,,,,,
652,devastating-drake--physical,7,16,,1,,0,10,2,1,,,,,,,
653,devastating-drake--special,7,16,,1,,0,10,3,1,,,,,,,
654,black-hole-eclipse--physical,7,17,,1,,0,10,2,1,,,,,,,
655,black-hole-eclipse--special,7,17,,1,,0,10,3,1,,,,,,,
656,twinkle-tackle--physical,7,18,,1,,0,10,2,1,,,,,,,
657,twinkle-tackle--special,7,18,,1,,0,10,3,1,,,,,,,
658,catastropika,7,13,210,1,,0,10,2,1,,,,,,,
659,shore-up,7,5,,10,,0,7,1,382,,,,,,26,
660,first-impression,7,7,90,10,100,2,10,2,383,,,,,175,,130
661,baneful-bunker,7,4,,10,,4,7,1,384,,,,,,4,
662,spirit-shackle,7,8,80,10,100,0,10,2,385,,,,,160,,130
663,darkest-lariat,7,17,85,10,100,0,10,2,304,,,,,160,,130
664,sparkling-aria,7,11,90,10,100,0,9,3,386,,,,,175,,130
665,ice-hammer,7,15,100,10,90,0,10,2,219,100,,,,180,,130
666,floral-healing,7,18,,10,,0,10,1,387,,,,,,26,
667,high-horsepower,7,5,95,10,95,0,10,2,1,,,,,175,,130
668,strength-sap,7,12,,10,100,0,10,1,388,100,,,,,4,
669,solar-blade,7,12,125,10,100,0,10,2,152,,,,,190,,140
670,leafage,7,12,40,40,100,0,10,2,1,,,,,100,,90
671,spotlight,7,1,,15,,3,10,1,389,,,,,,10,
672,toxic-thread,7,4,,20,100,0,10,1,390,100,,,,,13,
673,laser-focus,7,1,,30,,0,7,1,391,,,,,,1,
674,gear-up,7,9,,20,,0,13,1,392,,,,,,7,
675,throat-chop,7,17,80,15,100,0,10,2,393,100,,,,160,,130
676,pollen-puff,7,7,90,15,100,0,10,3,394,,,,,175,,130
677,anchor-shot,7,9,80,20,100,0,10,2,385,,,,,160,,130
678,psychic-terrain,7,14,,10,,0,12,1,395,,,,,,7,
679,lunge,7,7,80,15,100,0,10,2,396,100,,,,160,,130
680,fire-lash,7,10,80,15,100,0,10,2,397,100,,,,160,,130
681,power-trip,7,17,20,10,100,0,10,2,306,,,,,160,,130
682,burn-up,7,10,130,5,100,0,10,3,398,,,,,195,,140
683,speed-swap,7,14,,10,,0,10,1,399,,,,,,13,
684,smart-strike,7,9,70,10,,0,10,2,18,,,,,140,,120
685,purify,7,4,,20,,0,10,1,400,,,,,,22,
686,revelation-dance,7,1,90,15,100,0,10,3,401,,,,,175,,130
687,core-enforcer,7,16,100,10,100,0,11,3,402,,,,,140,,130
688,trop-kick,7,12,70,15,100,0,10,2,396,100,,,,140,,120
689,instruct,7,14,,15,,0,10,1,403,,,,,,7,
690,beak-blast,7,3,100,15,100,-3,10,2,404,,,,,180,,130
691,clanging-scales,7,16,110,5,100,0,11,3,405,100,,,,185,,140
692,dragon-hammer,7,16,90,15,100,0,10,2,1,,,,,175,,130
693,brutal-swing,7,17,60,20,100,0,9,2,406,,,,,120,,110
694,aurora-veil,7,15,,20,,0,4,1,407,,,,,,13,
695,sinister-arrow-raid,7,8,180,1,,0,10,2,1,,,,,,,
696,malicious-moonsault,7,17,180,1,,0,10,2,1,,,,,,,
697,oceanic-operetta,7,11,195,1,,0,10,3,1,,,,,,,
698,guardian-of-alola,7,18,,1,,0,10,3,413,,,,,,,
699,soul-stealing-7-star-strike,7,8,195,1,,0,10,2,1,,,,,,,
700,stoked-sparksurfer,7,13,175,1,,0,10,3,7,100,,,,,,
701,pulverizing-pancake,7,1,210,1,,0,10,2,1,,,,,,,
702,extreme-evoboost,7,1,,1,,0,7,1,414,100,,,,,,
703,genesis-supernova,7,14,185,1,,0,10,3,415,,,,,,,
704,shell-trap,7,10,150,5,100,-3,11,3,408,,,,,200,,150
705,fleur-cannon,7,18,130,5,90,0,10,3,205,100,,,,195,,140
706,psychic-fangs,7,14,85,10,100,0,10,2,187,,,,,160,,130
707,stomping-tantrum,7,5,75,10,100,0,10,2,409,,,,,140,,130
708,shadow-bone,7,8,85,10,100,0,10,2,70,20,,,,160,,130
709,accelerock,7,6,40,20,100,1,10,2,104,,,,,100,,90
710,liquidation,7,11,85,10,100,0,10,2,70,20,,,,160,,130
711,prismatic-laser,7,14,160,10,100,0,10,3,81,,,,,200,,150
712,spectral-thief,7,8,90,10,100,0,10,2,410,,,,,175,,130
713,sunsteel-strike,7,9,100,5,100,0,10,2,411,,,,,180,,130
714,moongeist-beam,7,8,100,5,100,0,10,3,411,,,,,180,,130
715,tearful-look,7,1,,20,,0,10,1,412,100,,,,,4,
716,zing-zap,7,13,80,10,100,0,10,2,32,30,,,,160,,130
717,natures-madness,7,18,,10,90,0,10,3,41,,,,,100,,100
718,multi-attack,7,1,120,10,100,0,10,2,269,,,,,185,,95
719,10-000-000-volt-thunderbolt,7,13,195,1,,0,10,3,1,,,,,,,
720,mind-blown,7,10,150,5,100,0,9,3,420,,,,,200,,150
721,plasma-fists,7,13,100,15,100,0,10,2,1,,,,,180,,130
722,photon-geyser,7,14,100,5,100,0,10,3,1,,,,,180,,130
723,light-that-burns-the-sky,7,14,200,1,,0,10,3,416,,,,,,,
724,searing-sunraze-smash,7,9,200,1,,0,10,2,411,,,,,,,
725,menacing-moonraze-maelstrom,7,8,200,1,,0,10,3,411,,,,,,,
726,lets-snuggle-forever,7,18,190,1,,0,10,2,417,,,,,,,
727,splintered-stormshards,7,6,190,1,,0,10,2,418,,,,,,,
728,clangorous-soulblaze,7,16,185,1,,0,11,3,419,100,,,,,,
729,zippy-zap,7,13,80,10,100,2,10,2,1,100,,,,,,
730,splishy-splash,7,11,90,15,100,0,11,3,1,30,,,,,,
731,floaty-fall,7,3,90,15,95,0,10,2,1,30,,,,,,
732,pika-papow,7,13,,20,,0,10,3,1,,,,,,,
733,bouncy-bubble,7,11,60,20,100,0,10,3,1,,,,,,,
734,buzzy-buzz,7,13,60,20,100,0,10,3,1,100,,,,,,
735,sizzly-slide,7,10,60,20,100,0,10,2,1,100,,,,,,
736,glitzy-glow,7,14,80,15,95,0,10,3,1,,,,,,,
737,baddy-bad,7,17,80,15,95,0,10,3,1,,,,,,,
738,sappy-seed,7,12,100,10,90,0,10,2,1,100,,,,,,
739,freezy-frost,7,15,100,10,90,0,10,3,1,,,,,,,
740,sparkly-swirl,7,18,120,5,85,0,10,3,1,,,,,,,
741,veevee-volley,7,1,,20,,0,10,2,1,,,,,,,
742,double-iron-bash,7,9,60,5,100,0,10,2,45,30,,,,180,,140
743,max-guard,8,1,,10,,4,7,1,112,,,,,,,
744,dynamax-cannon,8,16,100,5,100,0,10,3,421,,,,,,,140
745,snipe-shot,8,11,80,15,100,0,10,3,422,,,,,,,130
746,jaw-lock,8,17,80,10,100,0,10,2,423,,,,,,,130
747,stuff-cheeks,8,1,,10,,0,7,1,424,100,,,,,,
748,no-retreat,8,2,,5,,0,7,1,425,100,,,,,,
749,tar-shot,8,6,,15,100,0,10,1,426,100,,,,,,
750,magic-powder,8,14,,20,100,0,10,1,427,,,,,,,
751,dragon-darts,8,16,50,10,100,0,10,2,428,,,,,,,130
752,teatime,8,1,,10,,0,14,1,429,,,,,,,
753,octolock,8,2,,15,100,0,10,1,430,,,,,,,
754,bolt-beak,8,13,85,10,100,0,10,2,431,,,,,,,130
755,fishious-rend,8,11,85,10,100,0,10,2,431,,,,,,,130
756,court-change,8,1,,10,100,0,12,1,432,,,,,,,
757,max-flare,8,10,100,10,,0,2,2,1,,,,,,,
758,max-flutterby,8,7,10,10,,0,2,2,1,,,,,,,
759,max-lightning,8,13,10,10,,0,2,2,1,,,,,,,
760,max-strike,8,1,10,10,,0,2,2,1,,,,,,,
761,max-knuckle,8,2,10,10,,0,2,2,1,,,,,,,
762,max-phantasm,8,8,10,10,,0,2,2,1,,,,,,,
763,max-hailstorm,8,15,10,10,,0,2,2,1,,,,,,,
764,max-ooze,8,4,10,10,,0,2,2,1,,,,,,,
765,max-geyser,8,11,10,10,,0,2,2,1,,,,,,,
766,max-airstream,8,3,10,10,,0,2,2,1,,,,,,,
767,max-starfall,8,18,10,10,,0,2,2,1,,,,,,,
768,max-wyrmwind,8,16,10,10,,0,2,2,1,,,,,,,
769,max-mindstorm,8,14,10,10,,0,2,2,1,,,,,,,
770,max-rockfall,8,6,10,10,,0,2,2,1,,,,,,,
771,max-quake,8,5,10,10,,0,2,2,1,,,,,,,
772,max-darkness,8,17,10,10,,0,2,2,1,,,,,,,
773,max-overgrowth,8,12,10,10,,0,2,2,1,,,,,,,
774,max-steelspike,8,9,10,10,,0,2,2,1,,,,,,,
775,clangorous-soul,8,16,,5,100,0,7,1,433,100,,,,,,
776,body-press,8,2,80,10,100,0,10,2,434,,,,,,,90
777,decorate,8,18,,15,,0,10,1,435,100,,,,,,
