ability_id,local_language_id,effect,short_effect
73,9,"This Pokémon cannot have its stats [lowered]{mechanic:stat modifier} by other Pokémon.

This ability does not prevent any stat losses other than [stat modifiers]{mechanic:stat modifiers}, such as the [Speed]{mechanic:speed} cut from [paralysis]{mechanic:paralysis}; nor self-inflicted stat drops, such as the [Special Attack]{mechanic:special attack} drop from [Overheat]{move:overheat}; nor opponent-triggered stat boosts, such as the [Attack]{mechanic:attack} boost from [Swagger]{move:swagger}.  This Pokémon can still be passed negative stat modifiers through [Guard Swap]{move:guard-swap}, [Heart Swap]{move:heart-swap}, or [Power Swap]{move:power-swap}.

This ability functions identically to [Clear Body]{ability:clear-body} in battle.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is decreased.",Prevents stats from being [lowered]{mechanic:stat modifier} by other Pokémon.
74,9,"This Pokémon's [Attack]{mechanic:attack} is doubled in battle.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.

This ability functions identically to [Huge Power]{ability:huge-power}.",Doubles [Attack]{mechanic:attack} in battle.
75,9,"Moves cannot score [critical hits]{mechanic:critical hit} against this Pokémon.

This ability functions identically to [Battle Armor]{ability:battle-armor}.",Protects against [critical hits]{mechanic:critical hit}.
76,9,"While this Pokémon is in battle, [weather]{mechanic:weather} can still be in play, but will not have any of its effects.

This ability functions identically to [Cloud Nine]{ability:cloud-nine}.","Negates all effects of [weather]{mechanic:weather}, but does not prevent the weather itself."
77,9,"When this Pokémon is [confused]{mechanic:confusion}, it has twice its [evasion]{mechanic:evasion}.",Doubles [evasion]{mechanic:evasion} when [confused]{mechanic:confusion}.
78,9,"Whenever an [Electric]{type:electric}-type move hits this Pokémon, its [Speed]{mechanic:speed} rises one [stage]{mechanic:stat modifier}, negating any other effect on it.

This ability will not take effect if this Pokémon is immune to Electric moves.  Electric moves will ignore this Pokémon's [Substitute]{move:substitute}.

This effect includes non-damaging moves, i.e. [Thunder Wave]{move:thunder-wave}.","Absorbs [Electric]{type:electric} moves, raising [Speed]{mechanic:speed} one [stage]{mechanic:stat modifier}."
79,9,"This Pokémon inflicts 1.25× as much [regular damage]{mechanic:regular damage} against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
80,9,"Whenever this Pokémon [flinches]{mechanic:flinching}, its [Speed]{mechanic:speed} rises one [stage]{mechanic:stat modifier}.",Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat modifier} upon [flinching]{mechanic:flinching}.
81,9,"During [hail]{mechanic:hail}, this Pokémon has 1.25× its [evasion]{mechanic:evasion}, and it does not take hail damage regardless of type.

The evasion bonus does not count as a [stat modifier]{mechanic:stat modifier}.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a blizzard.",Increases evasion to 1.25× during [hail]{mechanic:hail}.
82,9,"This Pokémon eats any held Berry triggered by low [HP]{mechanic:hp} when it falls below 50% of its HP, regardless of the Berry's usual threshold.",Makes the Pokémon eat any held Berry triggered by low [HP]{mechanic:hp} below 1/2 its max HP.
83,9,"Whenever this Pokémon receives a [critical hit]{mechanic:critical hit}, its [Attack]{mechanic:attack} rises to the maximum of 6 [stages]{mechanic:stat modifier}.

This ability will still take effect if the critical hit is received by a [Substitute]{move:substitute}.",Raises [Attack]{mechanic:attack} to the maximum of six [stages]{mechanic:stat modifier} upon receiving a [critical hit]{mechanic:critical hit}.
84,9,"When this Pokémon uses or loses its held item, its [Speed]{mechanic:speed} is doubled.  If it gains another item or leaves battle, this bonus is lost.

This bonus does not count as a [stat modifier]{mechanic:stat modifier}.  There is no notification when this ability takes effect.",Doubles [Speed]{mechanic:speed} upon using or losing a held item.
85,9,This Pokémon takes half as much damage from [Fire]{type:fire}-type moves and [burns]{mechanic:burn}.,Halves damage from [Fire]{type:fire} moves and [burns]{mechanic:burn}.
86,9,"Each stage of this Pokémon's [stat modifiers]{mechanic:stat modifiers} acts as two stages.  These doubled stages are still limited to a minimum of -6 and a maximum of 6.

This Pokémon can still accumulate less than -3 or more than 3 stages of stat modifiers, even though the extra ones have no effect after doubling.",Doubles the Pokémon's [stat modifiers]{mechanic:stat modifiers}.  These doubled modifiers are still capped at -6 or 6 stages.
87,9,"This Pokémon takes 1/8 of its maximum HP in damage after each turn during [strong sunlight]{mechanic:strong sunlight}, but it heals for 1/8 of its HP each turn during [rain]{mechanic:rain}.  This Pokémon takes 1.25× as much damage from [Fire]{type:fire}-type moves, but whenever a [Water]{type:water} move hits it, it heals for 1/4 its maximum HP instead.","Causes 1/8 max [HP]{mechanic:hp} in damage each turn during [strong sunlight]{mechanic:strong sunlight}, but heals for 1/8 max HP during [rain]{mechanic:rain}.  Increases damage from [Fire]{type:fire} moves to 1.25×, but absorbs [Water]{type:water} moves, healing for 1/4 max HP."
88,9,"When this Pokémon enters battle, its [Attack]{mechanic:attack} or [Special Attack]{mechanic:special attack}, whichever corresponds to its opponents' weaker total defensive stat, rises one [stage]{mechanic:stat modifier}.  In the event of a tie, Special Attack is raised.

This ability also takes effect when acquired during a battle.",Raises the attack stat corresponding to the opponents' weaker defense one [stage]{mechanic:stat modifier} upon entering battle.
89,9,"Moves flagged as being punch-based have 1.2× their base power for this Pokémon.

[Sucker Punch]{move:sucker-punch} is not flagged as punch-based; its original, Japanese name only means ""surprise attack"".",Strengthens punch-based moves to 1.2× their power.
90,9,"If this Pokémon is [poisoned]{mechanic:poison}, it will heal for 1/8 of its maximum [HP]{mechanic:hp} after each turn rather than taking damage.  This includes bad poison.",Heals for 1/8 max [HP]{mechanic:hp} after each turn when [poisoned]{mechanic:poison} in place of damage.
91,9,"This Pokémon inflicts twice as much damage with moves whose types match its own, rather than the usual [same-type attack bonus]{mechanic:same-type attack bonus} of 1.5×.",Increases the [same-type attack bonus]{mechanic:same-type attack bonus} from 1.5× to 2×.
92,9,"This Pokémon always hits five times with two-to-five-hit moves, such as [Icicle Spear]{move:icicle-spear}.

Other multiple-hit moves, such as [Triple Kick]{move:triple-kick}, are unaffected.",Extends two-to-five-hit moves to a full five hits every time.
93,9,This Pokémon is cured of any [major status ailment]{mechanic:major status ailment} after each turn during [rain]{mechanic:rain}.,Cures any [major status ailment]{mechanic:major status ailment} after each turn during [rain]{mechanic:rain}.
94,9,"During [strong sunlight]{mechanic:strong sunlight}, this Pokémon has 1.5× its [Special Attack]{mechanic:special attack} but takes 1/8 of its maximum [HP]{mechanic:hp} in damage after each turn.",Increases [Special Attack]{mechanic:special attack} to 1.5× but costs 1/8 max [HP]{mechanic:hp} after each turn during [strong sunlight]{mechanic:strong sunlight}.
95,9,"Whenever this Pokémon has a [major status ailment]{mechanic:major status ailment}, it has 1.5× its [Speed]{mechanic:speed}.  This Pokémon is not affected by the usual Speed cut from [paralysis]{mechanic:paralysis}.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is decreased.",Increases [Speed]{mechanic:speed} to 1.5× with a [major status ailment]{mechanic:major status ailment}.
96,9,"This Pokémon's moves all act as if they were [Normal]{type:normal}-type.

Moves that inflict [typeless damage]{mechanic:typeless damage} do so as usual.  Moves of variable type, such as [Hidden Power]{move:hidden-power}, are affected.  They otherwise work as usual, however; [Weather Ball]{move:weather-ball}, for example, is always forced to be Normal, but it still has doubled power and looks different during [weather]{mechanic:weather}.

As [Thunder Wave]{move:thunder-wave} is prevented by immunities, unlike most non-damaging moves, it does not affect [Ghost]{type:ghost}-type Pokémon when turned Normal.",Makes the Pokémon's moves all act [Normal]{type:normal}-type.
97,9,"This Pokémon inflicts triple damage with [critical hits]{mechanic:critical hit}, rather than the usual double damage.",Strengthens [critical hits]{mechanic:critical hit} to inflict 3× damage rather than 2×.
98,9,"This Pokémon is immune to damage not directly caused by a move.

For example, this Pokémon takes no damage from from [weather]{mechanic:weather}, recoil, [status ailments]{mechanic:status ailments}, or [Spikes]{move:spikes}, but it still suffers from the [Attack]{mechanic:attack} cut when [burned]{mechanic:burn}, and a [Life Orb]{item:life-orb} will still power up this Pokémon's moves without damaging it.  Anything that directly depends on such damage will also not happen; for example, [Leech Seed]{move:leech-seed} will neither hurt this Pokémon nor heal the opponent, and Pokémon with a [Jaboca Berry]{item:jaboca-berry} or [Rowap Berry]{item:rowap-berry} will not consume the berry when hit by this Pokémon.

[Struggle]{move:struggle}'s recoil; [Pain Split]{move:pain-split}, whether used by or against this Pokémon; and the [HP]{mechanic:hp} costs of [Belly Drum]{move:belly-drum} and [Substitute]{move:substitute} are unaffected.

If this Pokémon is [badly poisoned]{mechanic:poison}, the poison counter is still increased each turn; if the Pokémon loses this ability, it will begin taking as much damage as it would be if it had been taking increasing damage each turn.  This Pokémon still takes poison damage outside of battle.",Protects against damage not directly caused by a move.
99,9,"Moves used by or against this Pokémon never miss.

One-hit KO moves are unaffected.  Moves affected by this ability can hit Pokémon during the preparation turn of moves like [Dig]{move:dig} or [Fly]{move:fly}.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.",Ensures all moves used by and against the Pokémon hit.
100,9,"This Pokémon moves last within its priority bracket.

Multiple Pokémon with this ability move in order of [Speed]{mechanic:speed} amongst themselves.

The [Full Incense]{item:full-incense} and [Lagging Tail]{item:lagging-tail} take precedence over this ability; that is, Pokémon with these items move after Pokémon with this ability.  Pokémon with both this ability and one of these items are delayed as much as if they had only the item.

This ability works as usual during [Trick Room]{move:trick-room}: Pokémon with this ability will move in reverse order of Speed after Pokémon without it.",Makes the Pokémon move last within its move's priority bracket.
101,9,"This Pokémon inflicts 1.5× as much damage with moves whose base power is 60 or less.

This includes moves of variable power, such as [Hidden Power]{move:hidden-power} and [Magnitude]{move:magnitude}, when their power is 60 or less.",Strengthens moves of 60 base power or less to inflict 1.5× damage.
102,9,"This Pokémon cannot be given a [major status ailment]{mechanic:major status ailment} during [strong sunlight]{mechanic:strong sunlight}.

This ability does not heal prior status ailments.  [Rest]{move:rest} will fail altogether with this ability in effect.  [Yawn]{move:yawn} will immediately fail if used on this Pokémon during strong sunlight, and an already-used Yawn will fail if the weather turns to strong sunlight in the meantime.",Protects against [major status ailments]{mechanic:major status ailments} during [strong sunlight]{mechanic:strong sunlight}.
103,9,"In battle, this Pokémon cannot use its held item, and the item will not have any passive effect on the battle, positive or negative.  This Pokémon also cannot use [Fling]{move:fling}.

The [Speed]{mechanic:speed} cut from the [Iron Ball]{item:iron-ball} and the effort items (the [Macho Brace]{item:macho-brace}, [Power Weight]{item:power-weight}, [Power Bracer]{item:power-bracer}, [Power Belt]{item:power-belt}, [Power Lens]{item:power-lens}, [Power Band]{item:power-band}, and [Power Anklet]{item:power-anklet}) is unaffected.  Items that do not directly affect the battle, such as the [Exp. Share]{item:exp-share}, the [Amulet Coin]{item:amulet-coin}, or the [Soothe Bell]{item:soothe-bell}, work as usual.  All held items work as usual out of battle.

Other moves that use the held item, such as [Natural Gift]{move:natural-gift} and [Switcheroo]{move:switcheroo}, work as usual.",Prevents the Pokémon from using its held item in battle.
104,9,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as [Water Absorb]{ability:water-absorb}; abilities that would prevent any of their effects, such as [Clear Body]{ability:clear-body}, [Shell Armor]{ability:shell-armor}, or [Sticky Hold]{ability:sticky-hold}; and abilities that grant any general protective benefit, such as [Simple]{ability:simple}, [Snow Cloak]{ability:snow-cloak}, or [Thick Fat]{ability:thick-fat}.  If an ability could either hinder or help this Pokémon's moves, e.g. [Dry Skin]{ability:dry-skin} or [Unaware]{ability:unaware}, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, [Cursed Body]{ability:cursed-body} only affects potential future uses of the move, and [Liquid Ooze]{ability:liquid-ooze} only hinders the move's effect on the user, not the target.  This ablity cannot ignore type or form changes granted by abilities, for example [Color Change]{ability:color-change} or [Forecast]{ability:forecast}; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from [Drizzle]{ability:drizzle}.  This ability cannot ignore [Multitype]{ability:multitype} at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can [paralyze]{mechanic:paralysis} a Pokémon with [Limber]{ability:limber}, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's [Spikes]{move:spikes} are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.",Bypasses targets' abilities if they could hinder or prevent a move.
105,9,This Pokémon's moves have [critical hit]{mechanic:critical hit} rates one stage higher than normal.,Raises moves' [critical hit]{mechanic:critical hit} rates one stage.
106,9,"When this Pokémon is knocked out by a move that makes contact, the move's user takes 1/4 its maximum [HP]{mechanic:hp} in damage.",Damages the attacker for 1/4 its max [HP]{mechanic:hp} when knocked out by a contact move.
107,9,"When this Pokémon enters battle, if one of its opponents has a move that is [super effective]{mechanic:super effective} against it, [Selfdestruct]{move:selfdestruct}, [Explosion]{move:explosion}, or a one-hit knockout move, all participating trainers are notified.

The move itself is not revealed; only that there is such a move.  Moves that inflict [typeless damage]{mechanic:typeless damage}, such as [Future Sight]{move:future-sight}, and moves of variable type, such as [Hidden Power]{move:hidden-power}, count as their listed types.","Notifies all trainers upon entering battle if an opponent has a [super-effective]{mechanic:super-effective} move, [Selfdestruct]{move:selfdestruct}, [Explosion]{move:explosion}, or a one-hit KO move."
108,9,"When this Pokémon enters battle, it reveals the move with the highest base power known by any opposing Pokémon to all participating trainers.

In the event of a tie, one is chosen at random.

Moves without a listed base power are assigned one as follows:

Power | Moves
----: | -----
  160 | One-hit KO moves: [Fissure]{move:fissure}, [Guillotine]{move:guillotine}, [Horn Drill]{move:horn-drill}, and [Sheer Cold]{move:sheer-cold}
  120 | Counter moves: [Counter]{move:counter}, [Metal Burst]{move:metal-burst}, and [Mirror Coat]{move:mirror-coat}
   80 | Variable power or set damage: [Crush Grip]{move:crush-grip}, [Dragon Rage]{move:dragon-rage}, [Endeavor]{move:endeavor}, [Flail]{move:flail}, [Frustration]{move:frustration}, [Grass Knot]{move:grass-knot}, [Gyro Ball]{move:gyro-ball}, [Hidden Power]{move:hidden-power}, [Low Kick]{move:low-kick}, [Natural Gift]{move:natural-gift}, [Night Shade]{move:night-shade}, [Psywave]{move:psywave}, [Return]{move:return}, [Reversal]{move:reversal}, [Seismic Toss]{move:seismic-toss}, [SonicBoom]{move:sonicboom}, [Trump Card]{move:trump-card}, and [Wring Out]{move:wring-out}
    0 | Any such move not listed
",Reveals the opponents' strongest move upon entering battle.
109,9,"This Pokémon ignores other Pokémon's [stat modifiers]{mechanic:stat modifiers} when attacking and defending.

This includes [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  [Speed]{mechanic:speed} modifiers cannot be ignored, as the order Pokémon move in is determined separately.

[Punishment]{move:punishment}'s power is calculated as usual.  When this Pokémon hurts itself in [confusion]{mechanic:confusion}, its stat modifiers affect damage as usual.",Ignores other Pokémon's stat modifiers when attacking or defending.
110,9,This Pokémon deals twice as much damage with moves that are [not very effective]{mechanic:not very effective} against the target.,Doubles damage inflicted with [not-very-effective]{mechanic:not-very-effective} moves.
111,9,"This Pokémon takes 0.75× as much damage from moves that are [super effective]{mechanic:super effective} against it.

This ability functions identically to [Solid Rock]{ability:solid-rock}.",Decreases damage taken from [super-effective]{mechanic:super-effective} moves by 1/4.
112,9,"This Pokémon's [Attack]{mechanic:attack} and [Speed]{mechanic:speed} are halved for five turns upon entering battle.

This ability also takes effect when acquired during battle.  If this Pokémon loses its ability before the five turns are up, its Attack and Speed return to normal; if it then regains this ability without leaving battle, its Attack and Speed are halved again, but the counter keeps counting from where it was.",Halves [Attack]{mechanic:attack} and [Speed]{mechanic:speed} for five turns upon entering battle.
113,9,"This Pokémon ignores [Ghost]{type:ghost}-type Pokémon's immunity to [Normal]{type:normal}- and [Fighting]{type:fighting}-type moves.

Ghost Pokémon's other types affect damage as usual.",Lets the Pokémon's [Normal]{type:normal} and [Fighting]{type:fighting} moves hit [Ghost]{type:ghost} Pokémon.
114,9,"All other Pokémon's single-target [Water]{type:water}-type moves are redirected to this Pokémon, if it is an eligible target.  Other Pokémon's Water moves raise this Pokémon's [Special Attack]{mechanic:special attack} one [stage]{mechanic:stat modifier}, negating any other effect on it, and cannot miss it.

[Follow Me]{move:follow-me} takes precedence over this ability.","Redirects single-target [Water]{type:water} moves to this Pokémon where possible.  Absorbs Water moves, raising [Special Attack]{mechanic:special attack} one [stage]{mechanic:stat modifier}."
115,9,"This Pokémon heals for 1/16 of its maximum [HP]{mechanic:hp} after each turn during [hail]{mechanic:hail}, and it does not take hail damage regardless of type.",Heals for 1/16 max [HP]{mechanic:hp} after each turn during hail.
116,9,"This Pokémon takes 0.75× as much damage from moves that are [super effective]{mechanic:super effective} against it.

This ability functions identically to [Filter]{ability:filter}.",Decreases damage taken from [super-effective]{mechanic:super-effective} moves by 1/4.
117,9,"The [weather]{mechanic:weather} changes to [hail]{mechanic:hail} when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, [Drizzle]{ability:drizzle}, [Drought]{ability:drought}, or [Sand Stream]{ability:sand-stream} are sent out at the same time, the abilities will activate in order of [Speed]{mechanic:speed}, respecting [Trick Room]{move:trick-room}.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons [hail]{mechanic:hail} that lasts indefinitely upon entering battle.
118,9,"This Pokémon has a chance of picking up [Honey]{item:honey} after each battle.  This chance starts at 5% and rises another 5% after every tenth level: 5% from level 1–10, 10% from 11–20, and so on, up to 50% from 91–100.

This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",The Pokémon may pick up [Honey]{item:honey} after battle.
119,9,"When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers.

In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random.",Reveals an opponent's held item upon entering battle.
120,9,"This Pokémon's recoil moves and crash moves have 1.2× their base power.

[Struggle]{move:struggle} is unaffected.

The ""crash moves"" are the moves that damage the user upon missing: [Jump Kick]{move:jump-kick} and [Hi Jump Kick]{move:hi-jump-kick}.",Strengthens recoil moves to 1.2× their power.
121,9,"If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.

This Pokémon's held item, whether or not it is a Plate, cannot be taken by [Covet]{move:covet} or [Thief]{move:thief}, nor removed by [Knock Off]{move:knock-off}, nor traded by [Switcheroo]{move:switcheroo} or [Trick]{move:trick}.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with [Sticky Hold]{ability:sticky-hold}, this Pokémon cannot use [Fling]{move:fling}, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.

This ability has no effect for any Pokémon other than [Arceus]{pokemon:arceus}.  This ability cannot be traded with [Skill Swap]{move:skill-swap}, nor copied with [Role Play]{move:role-play} or [Trace]{ability:trace}, nor disabled with [Gastro Acid]{move:gastro-acid}, nor changed with [Worry Seed]{move:worry-seed}.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  [Mold Breaker]{ability:mold-breaker} cannot ignore this ability.

If a Pokémon [Transforms]{move:transform} into an Arceus with this ability, it will Transform into Arceus's default, [Normal]{type:normal}-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form.",Changes [Arceus]{pokemon:arceus}'s type and form to match its held Plate.
122,9,"Friendly Pokémon have 1.5× their [Attack]{mechanic:attack} and [Special Defense]{mechanic:special defense} during [strong sunlight]{mechanic:strong sunlight} if any friendly Pokémon has this ability.

Unlike [Forecast]{ability:forecast}, [Multitype]{ability:multitype}, and [Zen Mode]{ability:zen-mode}, this ability is not tied to its Pokémon's form change; [Cherrim]{pokemon:cherrim} will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.",Increases friendly Pokémon's [Attack]{mechanic:attack} and [Special Defense]{mechanic:special defense} to 1.5× during [strong sunlight]{mechanic:strong sunlight}.
123,9,Opposing Pokémon take 1/8 of their maximum [HP]{mechanic:hp} in damage after each turn while they are [asleep]{mechanic:asleep}.,Damages [sleeping]{mechanic:sleep} opponents for 1/8 their max [HP]{mechanic:hp} after each turn.
124,9,"Whenever a move makes contact with this Pokémon, it steals the attacker's held item if it does not already have an item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a [Substitute]{move:substitute}, but cannot steal when its own Substitute is hit.",Steals attacking Pokémon's held item on contact.
125,9,"This Pokémon's moves with extra effects have 1.3× their power, but their effect chances are reduced to 0.","Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
126,9,Stat modifiers are inverted for this Pokémon.,Inverts stat modifiers.
127,9,Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.,Prevents opposing Pokémon from eating held Berries.
128,9,"When any of this Pokémon's stats are [lowered]{mechanic:stat modifier}, its [Attack]{mechanic:attack} rises by two stages.",Raises [Attack]{mechanic:attack} two [stages]{mechanic:stat modifier} upon having any stat lowered.
129,9,This Pokémon's [Attack]{mechanic:attack} and [Special Attack]{mechanic:special attack} are halved when it has less than half its [HP]{mechanic:hp}.,Halves [Attack]{mechanic:attack} and [Special Attack]{mechanic:special attack} below 50% [HP]{mechanic:hp}.
130,9,Moves that hit this Pokémon have a 30% chance of being [Disabled]{move:disable} afterward.,Has a 30% chance of [Disabling]{move:disable} any move that hits the Pokémon.
131,9,Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any [major status ailment]{mechanic:major status ailment} after each turn.,Has a 30% chance of curing each adjacent ally of any [major status ailment]{mechanic:major status ailment} after each turn.
132,9,This Pokémon's moves inflict less damage against friendly Pokémon.,Decreases damage inflicted against friendly Pokémon.
133,9,"Whenever any move hits this Pokémon, its [Speed]{mechanic:speed} rises one stage and its [Defense]{mechanic:defense} falls one stage.

This ability triggers on every hit of a multiple-hit move.",Raises [Speed]{mechanic:speed} and lowers [Defense]{mechanic:defense} by one stage each upon being hit by any move.
134,9,This Pokémon has double the usual weight for its species.,Doubles the Pokémon's weight.
135,9,This Pokémon has half the usual weight for its species.,Halves the Pokémon's weight.
136,9,This Pokémon takes half as much damage when it is hit having full [HP]{mechanic:hp}.,Halves damage taken from full [HP]{mechanic:hp}.
137,9,This Pokémon has 1.5× its [Attack]{mechanic:attack} when [poisoned]{mechanic:poison}.,Increases [Attack]{mechanic:attack} to 1.5× when [poisoned]{mechanic:poison}.
138,9,This Pokémon has 1.5× its [Special Attack]{mechanic:special attack} when [burned]{mechanic:burn}.,Increases [Special Attack]{mechanic:special attack} to 1.5× when [burned]{mechanic:burn}.
139,9,"After each turn, if this Pokémon ate a held Berry or used it with [Natural Gift]{move:natural-gift} that turn, the Pokémon regains its Berry.  If the Pokémon then meets the requirements to eat the Berry again, it will do so immediately, and will not be able restore the Berry again.",Restores any held Berry after the turn on which it is used.
140,9,"This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it.",Protects against friendly Pokémon's damaging moves.
141,9,"After each turn, one of this Pokémon's stats at random rises two [stages]{mechanic:stat modifier}, and another falls one stage.",Raises a random stat two [stages]{mechanic:stat modifier} and lowers another one stage after each turn.
142,9,This Pokémon does not take damage from [weather]{mechanic:weather}.,Protects against damage from [weather]{mechanic:weather}.
143,9,This Pokémon's contact moves have a 20% chance of [poisoning]{mechanic:poison} the target with each hit.,Has a 20% chance of [poisoning]{mechanic:poison} Pokémon upon contact when attacking.
144,9,This Pokémon regains 1/3 of its maximum [HP]{mechanic:hp} when it is switched out for another Pokémon.,Heals for 1/3 max [HP]{mechanic:hp} upon switching out.
145,9,This Pokémon's [Defense]{mechanic:defense} cannot be [lowered]{mechanic:stat modifiers}.,Protects against [Defense]{mechanic:defense} drops.
146,9,This Pokémon's [Speed]{mechanic:speed} is doubled during a [sandstorm]{mechanic:sandstorm}.,Doubles [Speed]{mechanic:speed} during a [sandstorm]{mechanic:sandstorm}.
147,9,"Non-damaging moves that inflict [major status ailments]{mechanic:major status ailment}, such as [Thunder Wave]{move:thunder-wave}, have a 50% chance of failing against this Pokémon.",Has a 50% chance of protecting against non-damaging moves that inflict [major status ailments]{mechanic:major status ailment}.
148,9,This Pokémon inflicts more damage when it moves last in a turn.,Strengthens moves when moving last.
149,9,"This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.

Other damage, e.g. from [weather]{mechanic:weather} or [Spikes]{move:spikes}, does not break the illusion, nor does damage done to a [Substitute]{move:substitute}.

If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order.",Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.
150,9,This Pokémon uses [Transform]{move:transform} upon entering battle.,[Transforms]{move:transform} upon entering battle.
151,9,"This Pokémon's moves ignore [Light Screen]{move:light-screen}, [Reflect]{move:reflect}, and [Safeguard]{move:safeguard}.","Bypasses [Light Screen]{move:light-screen}, [Reflect]{move:reflect}, and [Safeguard]{move:safeguard}."
152,9,"Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.",Changes attacking Pokémon's abilities to Mummy on contact.
153,9,"This Pokémon's [Attack]{mechanic:attack} rises one stage upon knocking out another Pokémon, even a friendly Pokémon.

This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through [poison]{mechanic:poison} or [Spikes]{move:spikes}.",Raises [Attack]{mechanic:attack} one stage upon KOing a Pokémon.
154,9,"Whenever a [Dark]{type:dark}-type move hits this Pokémon, its [Attack]{mechanic:attack} rises one [stage]{mechanic:stat modifier}.

The move is not negated in any way.",Raises [Attack]{mechanic:attack} one stage upon being hit by a [Dark]{type:dark} move.
155,9,"This Pokémon's [Speed]{mechanic:speed} rises one stage with each hit from a damaging [Dark]{type:dark}-, [Ghost]{type:ghost}-, or [Bug]{type:bug}-type move.","Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat modifier} upon being hit by a [Dark]{type:dark}, [Ghost]{type:ghost}, or [Bug]{type:bug} move."
156,9,"When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.

All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.

A move reflected by this ability or [Magic Coat]{move:magic-coat} cannot be reflected back.",Reflects most non-damaging moves back at their user.
157,9,"Whenever a [Grass]{type:grass}-type move hits this Pokémon, its [Attack]{mechanic:attack} rises one [stage]{mechanic:stat modifier}, negating any other effect on it.","Absorbs [Grass]{type:grass} moves, raising [Attack]{mechanic:attack} one [stage]{mechanic:stat modifier}."
158,9,This Pokémon's non-damaging moves have their priority increased by one stage.,Raises non-damaging moves' priority by one stage.
159,9,"During a [sandstorm]{mechanic:sandstorm}, this Pokémon's [Rock]{type:rock}-, [Ground]{type:ground}-, and [Steel]{type:steel}-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.","Strengthens [Rock]{type:rock}, [Ground]{type:ground}, and [Steel]{type:steel} moves to 1.3× their power during a [sandstorm]{mechanic:sandstorm}."
160,9,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum [HP]{mechanic:hp} in damage.

This ability functions identically to [Rough Skin]{ability:rough-skin}.",Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.
161,9,"This Pokémon changes to Zen Mode when it falls below 50% of its maximum [HP]{mechanic:hp}.

This ability has no effect if this Pokémon is not a [Darmanitan]{pokemon:darmanitan}.",Changes [Darmanitan]{pokemon:darmanitan} to Zen Mode below 50% max [HP]{mechanic:hp}.
162,9,"All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle.",Increases moves' accuracy to 1.1× for friendly Pokémon.
