move_effect_id,local_language_id,short_effect,effect
108,9,Target loses 1/4 its max HP every turn as long as it's asleep.,"Only works on [sleep]{mechanic:sleep}ing Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max [HP]{mechanic:hp} every turn.  If the target wakes up or leaves the [field]{mechanic:field}, this effect ends."
109,9,Raises the user's evasion by two stages.,"Raises the user's [evasion]{mechanic:evasion} by two [stages]{mechanic:stage}.

[Stomp]{move:stomp} and [Steamroller]{move:steamroller} have double power against Pokémon that have used this move since entering the [field]{mechanic:field}."
110,9,Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,"If the user is a [Ghost]{type:ghost}: user pays half its max [HP]{mechanic:hp} to place a curse on the target, damaging it for 1/4 its max [HP]{mechanic:hp} every turn.
Otherwise: Lowers the user's [Speed]{mechanic:speed} by one [stage]{mechanic:stage}, and raises its [Attack]{mechanic:attack} and [Defense]{mechanic:defense} by one [stage]{mechanic:stage} each.

The curse effect is passed on by [Baton Pass]{move:baton-pass}.

This move cannot be copied by [Mirror Move]{move:mirror-move}."
112,9,Prevents any moves from hitting the user this turn.,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used [Detect]{move:detect}, [Endure]{move:endure}, [Protect]{move:protect}, [Quick Guard]{move:quick-guard}, or [Wide Guard]{move:wide-guard} on the last turn, this move has a 50% chance to fail.

[Lock-On]{move:lock-on}, [Mind Reader]{move:mind-reader}, and [No Guard]{ability:no-guard} provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves ([Fissure]{move:fissure}, [Guillotine]{move:guillotine}, [Horn Drill]{move:horn-drill}, and [Sheer Cold]{move:sheer-cold}); those are always blocked by this move.

[Thunder]{move:thunder} during [Rain Dance]{move:rain-dance} and [Blizzard]{move:blizzard} during [Hail]{move:hail} have a 30% chance to break through this move.

The following effects are not prevented by this move:

* [Acupressure]{move:acupressure} from an ally
* [Curse]{move:curse}'s curse effect
* Delayed damage from [Doom Desire]{move:doom-desire} and [Future Sight]{move:future-sight}; however, these moves will be prevented if they are used this turn
* [Feint]{move:feint}, which will also end this move's protection after it hits
* [Imprison]{move:imprison}
* [Perish Song]{move:perish-song}
* [Shadow Force]{move:shadow-force}
* Moves that merely copy the user, such as [Transform]{move:transform} or [Psych Up]{move:psych-up}

This move cannot be selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
113,9,"Scatters Spikes, hurting opposing Pokémon that switch in.","Scatters spikes around the opposing [field]{mechanic:field}, which damage opposing Pokémon that enter the [field]{mechanic:field} for 1/8 of their max [HP]{mechanic:hp}.  Pokémon immune to [Ground]{type:ground} moves are immune to this damage, except during [Gravity]{move:gravity}.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max [HP]{mechanic:hp}, and three layers damage for 1/4 max [HP]{mechanic:hp}.

[Wonder Guard]{ability:wonder-guard} does not block damage from this effect.

[Rapid Spin]{move:rapid-spin} removes this effect from its user's side of the [field]{mechanic:field}.  [Defog]{move:defog} removes this effect from its target's side of the [field]{mechanic:field}."
114,9,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",Resets the target's [evasion]{mechanic:evasion} to normal and prevents any further boosting until the target leaves the [field]{mechanic:field}.  A [Ghost]{type:ghost} under this effect takes normal damage from [Normal]{type:normal} and [Fighting]{type:fighting} moves.  This move itself ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.
115,9,User and target both faint after three turns.,"Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon's counter reaches zero, that Pokémon [faint]{mechanic:faint}s.  A Pokémon that leaves the [field]{mechanic:field} will lose its counter; its replacement does not inherit the effect, and other Pokémon's counters remain.

This effect is passed on by [Baton Pass]{move:baton-pass}.

This move cannot be copied by [Mirror Move]{move:mirror-move}."
116,9,Changes the weather to a sandstorm for five turns.,"Changes the weather to a sandstorm for five turns.  Pokémon that are not [Ground]{type:ground}, [Rock]{type:rock}, or [Steel]{type:steel} take 1/16 their max [HP]{mechanic:hp} at the end of every turn.  Every [Rock]{type:rock} Pokémon's original [Special Defense]{mechanic:special defense} is raised by 50% for the duration of this effect.

[SolarBeam]{move:solarbeam}'s power is halved.

[Moonlight]{move:moonlight}, [Morning Sun]{move:morning-sun}, and [Synthesis]{move:synthesis} only heal 1/4 the user's max [HP]{mechanic:hp}."
117,9,Prevents the user's HP from lowering below 1 this turn.,"The user's [HP]{mechanic:hp} cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used [Detect]{move:detect}, [Endure]{move:endure}, [Protect]{move:protect}, [Quick Guard]{move:quick-guard}, or [Wide Guard]{move:wide-guard} on the last turn, this move has a 50% chance to fail.

This move cannot be selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
118,9,"Power doubles every turn this move is used in succession after the first, resetting after five turns.","Inflicts [regular damage]{mechanic:regular damage}.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used [Defense Curl]{move:defense-curl} since entering the field, this move has double power."
119,9,Raises the target's Attack by two stages and confuses the target.,"Raises the target's [Attack]{mechanic:attack} by two [stages]{mechanic:stage}, then [confuses]{mechanic:confuses} it.  If the target's [Attack]{mechanic:attack} cannot be [raised]{mechanic:raised} by two [stages]{mechanic:stage}, the [confusion]{mechanic:confusion} is not applied."
120,9,"Power doubles every turn this move is used in succession after the first, maxing out after five turns.","Inflicts [regular damage]{mechanic:regular damage}.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the [field]{mechanic:field}, power resets."
121,9,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.","Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the [field]{mechanic:field}, this effect ends."
122,9,"Power increases with happiness, up to a maximum of 102.","Inflicts [regular damage]{mechanic:regular damage}.  Power increases with [happiness]{mechanic:happiness}, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
123,9,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,"Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts [regular damage]{mechanic:regular damage} with 40 power  |    40%
Inflicts [regular damage]{mechanic:regular damage} with 80 power  |    30%
Inflicts [regular damage]{mechanic:regular damage} with 120 power |    10%
Heals the target for 1/4 its max [HP]{mechanic:hp}    |    20%

On average, this move inflicts [regular damage]{mechanic:regular damage} with 52 power and heals the target for 1/20 its max [HP]{mechanic:hp}."
124,9,"Power increases as happiness decreases, up to a maximum of 102.","Inflicts [regular damage]{mechanic:regular damage}.  Power increases inversely with [happiness]{mechanic:happiness}, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
125,9,Protects the user's field from major status ailments and confusion for five turns.,"Protects Pokémon on the user's side of the [field]{mechanic:field} from [major status]{mechanic:major status} effects and [confusion]{mechanic:confusion} for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the [field]{mechanic:field}.

If [Yawn]{move:yawn} is used while this move is in effect, it will immediately fail.

[Defog]{move:defog} used by an opponent will end this effect.

This effect does not prevent the [confusion]{mechanic:confusion} caused by [Outrage]{move:outrage}, [Petal Dance]{move:petal-dance}, or [Thrash]{move:thrash}."
126,9,Has a $effect_chance% chance to [burn]{mechanic} the target.  Lets frozen Pokémon thaw themselves.,"Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn} the target.  [Frozen]{mechanic:frozen} Pokémon may use this move, in which case they will thaw."
127,9,Power varies randomly from 10 to 150.,"Inflicts [regular damage]{mechanic:regular damage}.  Power is selected at random between 10 and 150, with an average of 64:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    20%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pokémon currently underground due to [Dig]{move:dig}."
128,9,Allows the trainer to switch out the user and pass effects along to its replacement.,"User [switches out]{mechanic:switches out}, and the trainer selects a replacement Pokémon from the party.  [Stat]{mechanic:stat} changes, [confusion]{mechanic:confusion}, and persistent move effects are passed along to the replacement Pokémon.

The following move effects are passed:

* [Aqua Ring]{move:aqua-ring}
* both the user's and target's effect of [Block]{move:block}, [Mean Look]{move:mean-look}, and [Spider Web]{move:spider-web}
* the curse effect of [Curse]{move:curse}
* [Embargo]{move:embargo}
* [Focus Energy]{move:focus-energy} or an activated [Lansat Berry]{item:lansat-berry}
* [Gastro Acid]{move:gastro-acid}
* [Ingrain]{move:ingrain}
* being sapped by [Leech Seed]{move:leech-seed}
* being targeted by [Lock-On]{move:lock-on} or [Mind Reader]{move:mind-reader}
* [Magnet Rise]{move:magnet-rise}
* [Perish Song]{move:perish-song}'s counter
* [Power Trick]{move:power-trick}
* [Substitute]{move:substitute}; the doll's HP is unchanged

The replacement Pokémon does not trigger effects that respond to Pokémon switching in."
129,9,"Has double power against, and can hit, Pokémon attempting to switch out.","Inflicts [regular damage]{mechanic:regular damage}.  If the target attempts to [switch out]{mechanic:switch out} this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that [switches out]{mechanic:switches out} when it has a [Substitute]{move:substitute} up or when an ally has used [Follow Me]{move:follow-me}."
130,9,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.","Inflicts [regular damage]{mechanic:regular damage}.  Removes [Leech Seed]{move:leech-seed} from the user, frees the user from [Bind]{move:bind}, [Clamp]{move:clamp}, [Fire Spin]{move:fire-spin}, [Magma Storm]{move:magma-storm}, [Sand Tomb]{move:sand-tomb}, [Whirlpool]{move:whirlpool}, and [Wrap]{move:wrap}, and clears [Spikes]{move:spikes}, [Stealth Rock]{move:stealth-rock}, and [Toxic Spikes]{move:toxic-spikes} from the user's side of the [field]{mechanic:field}.  If this move misses or has [no effect]{mechanic:no effect}, its effect doesn't activate."
131,9,Inflicts 20 points of damage.,Inflicts exactly 20 damage.
133,9,Heals the user by half its max HP.  Affected by weather.,"Heals the user for half its max [HP]{mechanic:hp}.

During [Sunny Day]{move:sunny-day}, the healing is increased to 2/3 max [HP]{mechanic:hp}.

During [Hail]{move:hail}, [Rain Dance]{move:rain-dance}, or [Sandstorm]{move:sandstorm}, the healing is decreased to 1/4 max [HP]{mechanic:hp}."
136,9,Power and type depend upon user's IVs.  Power can range from 30 to 70.,"Inflicts [regular damage]{mechanic:regular damage}.  Power and type are determined by the user's [IV]{mechanic:iv}s.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the [IV]{mechanic:iv} for each of [Special Defense]{mechanic:special defense}, [Special Attack]{mechanic:special attack}, [Speed]{mechanic:speed}, [Defense]{mechanic:defense}, [Attack]{mechanic:attack}, and [HP]{mechanic:hp} in that order.  (Bit 1 is 1 if the [IV]{mechanic:iv} is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * [Special Defense]{mechanic:special defense} [IV]{mechanic:iv} bit 1, plus 32 * [Special Attack]{mechanic:special attack} [IV]{mechanic:iv} bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the [IV]{mechanic:iv} is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | [Fighting]{type:fighting}
    1 | [Flying]{type:flying}
    2 | [Poison]{type:poison}
    3 | [Ground]{type:ground}
    4 | [Rock]{type:rock}
    5 | [Bug]{type:bug}
    6 | [Ghost]{type:ghost}
    7 | [Steel]{type:steel}
    8 | [Fire]{type:fire}
    9 | [Water]{type:water}
   10 | [Grass]{type:grass}
   11 | [Electric]{type:electric}
   12 | [Psychic]{type:psychic}
   13 | [Ice]{type:ice}
   14 | [Dragon]{type:dragon}
   15 | [Dark]{type:dark}

This move thus cannot be [Normal]{type:normal}.  Most other types have an equal 1/16 chance to be selected, given random [IV]{mechanic:iv}s.  However, due to the flooring used here, [Bug]{type:bug}, [Fighting]{type:fighting}, and [Grass]{type:grass} appear 5/64 of the time, and [Dark]{type:dark} only 1/64 of the time."
137,9,Changes the weather to rain for five turns.,"Changes the weather to rain for five turns, during which [Water]{type:water} moves inflict 50% extra damage, and [Fire]{type:fire} moves inflict half damage.

If the user is holding [Damp Rock]{item:damp-rock}, this effect lasts for eight turns.

[Thunder]{move:thunder} has 100% accuracy.  If the target has used [Detect]{move:detect} or [Protect]{move:protect}, [Thunder]{move:thunder} has a (100 - accuracy)% chance to break through the protection.

[SolarBeam]{move:solarbeam} has half power.

[Moonlight]{move:moonlight}, [Morning Sun]{move:morning-sun}, and [Synthesis]{move:synthesis} heal only 1/4 of the user's max [HP]{mechanic:hp}.

Pokémon with [Swift Swim]{ability:swift-swim} have doubled original [Speed]{mechanic:speed}.

Pokémon with [Forecast]{ability:forecast} become [Water]{type:water}.

Pokémon with [Dry Skin]{ability:dry-skin} heal 1/8 max [HP]{mechanic:hp}, Pokémon with [Hydration]{ability:hydration} are cured of [major status effects]{mechanic:major status effects}, and Pokémon with [Rain Dish]{ability:rain-dish} heal 1/16 max [HP]{mechanic:hp} at the end of each turn."
138,9,Changes the weather to sunny for five turns.,"Changes the weather to sunshine for five turns, during which [Fire]{type:fire} moves inflict 50% extra damage, and [Water]{type:water} moves inflict half damage.

If the user is holding [Heat Rock]{item:heat-rock}, this effect lasts for eight turns.

Pokémon cannot become [frozen]{mechanic:frozen}.

[Thunder]{move:thunder} has 50% accuracy.

[SolarBeam]{move:solarbeam} skips its charge turn.

[Moonlight]{move:moonlight}, [Morning Sun]{move:morning-sun}, and [Synthesis]{move:synthesis} heal 2/3 of the user's max [HP]{mechanic:hp}.

Pokémon with [Chlorophyll]{ability:chlorophyll} have doubled original [Speed]{mechanic:speed}.

Pokémon with [Forecast]{ability:forecast} become [Fire]{type:fire}.

Pokémon with [Leaf Guard]{ability:leaf-guard} are not affected by [major status effects]{mechanic:major status effects}.

Pokémon with [Flower Gift]{ability:flower-gift} change form; every Pokémon on their side of the [field]{mechanic:field} have their original [Attack]{mechanic:attack} and [Special Attack]{mechanic:special attack} increased by 50%.

Pokémon with [Dry Skin]{ability:dry-skin} lose 1/8 max [HP]{mechanic:hp} at the end of each turn.

Pokémon with [Solar Power]{ability:solar-power} have their original [Special Attack]{mechanic:special attack} raised by 50% but lose 1/8 their max [HP]{mechanic:hp} at the end of each turn."
139,9,Has a $effect_chance% chance to raise the user's Defense by one stage.,Inflicts [regular damage]{mechanic:regular damage}. Has a $effect_chance% chance to raise the user's [Defense]{mechanic:defense} one [stage]{mechanic:stage}.
140,9,Has a $effect_chance% chance to raise the user's Attack by one stage.,Inflicts [regular damage]{mechanic:regular damage}. Has a $effect_chance% chance to raise the user's [Attack]{mechanic:attack} one [stage]{mechanic:stage}.
141,9,Has a $effect_chance% chance to raise all of the user's stats by one stage.,Inflicts [regular damage]{mechanic:regular damage}. Has a $effect_chance% chance to raise all of the user's stats one [stage]{mechanic:stage}.
143,9,User pays half its max HP to max out its Attack.,"User pays half its max [HP]{mechanic:hp} to raise its [Attack]{mechanic:attack} to +6 [stages]{mechanic:stage}.  If the user cannot pay the [HP]{mechanic:hp} cost, this move will fail."
144,9,Discards the user's stat changes and copies the target's.,"Discards the user's [stat changes]{mechanic:stat changes} and copies the target's.

This move cannot be copied by [Mirror Move]{move:mirror-move}."
145,9,Inflicts twice the damage the user received from the last special hit it took.,"Targets the last opposing Pokémon to hit the user with a [special]{mechanic:special} move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will [fail]{mechanic:fail}.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
146,9,Raises the user's Defense by one stage.  User charges for one turn before attacking.,"Inflicts [regular damage]{mechanic:regular damage}.  Raises the user's [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.  User then charges for one turn before attacking.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
147,9,Has a $effect_chance% chance to make the target flinch.,"Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to make each target [flinch]{mechanic:flinch}.

If the target is under the effect of [Bounce]{move:bounce}, [Fly]{move:fly}, or [Sky Drop]{move:sky-drop}, this move will hit with double power."
148,9,Inflicts regular damage and can hit Dig users.,"Inflicts [regular damage]{mechanic:regular damage}.

If the target is in the first turn of [Dig]{move:dig}, this move will hit with double power."
149,9,Hits the target two turns later.,"Inflicts [typeless]{mechanic:typeless} [regular damage]{mechanic:regular damage} at the end of the third turn, starting with this one.  This move cannot score a [critical hit]{mechanic:critical hit}.  If the target [switches out]{mechanic:switches out}, its replacement will be hit instead.  Damage is calculated at the time this move is used; [stat changes]{mechanic:stat changes} and [switching out]{mechanic:switching out} during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through [Wonder Guard]{ability:wonder-guard}.

If the target is protected by [Protect]{move:protect} or [Detect]{move:detect} on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores [Endure]{move:endure} and [Focus Sash]{item:focus-sash}.

This move cannot be copied by [Mirror Move]{move:mirror-move}."
150,9,Inflicts regular damage and can hit Pokémon in the air.,"Inflicts [regular damage]{mechanic:regular damage}.

If the target is under the effect of [Bounce]{move:bounce}, [Fly]{move:fly}, or [Sky Drop]{move:sky-drop}, this move will hit with double power."
151,9,Has a $effect_chance% chance to make the target flinch.,"Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to make the target [flinch]{mechanic:flinch}.

Power is doubled against Pokémon that have used [Minimize]{move:minimize} since entering the [field]{mechanic:field}."
152,9,Requires a turn to charge before attacking.,"Inflicts [regular damage]{mechanic:regular damage}.  User charges for one turn before attacking.

During [Sunny Day]{move:sunny-day}, the charge turn is skipped.

During [Hail]{move:hail}, [Rain Dance]{move:rain-dance}, or [Sandstorm]{move:sandstorm}, power is halved.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
153,9,Has a $effect_chance% chance to paralyze the target.,"Inflicts [regular damage]{mechanic:regular damage}.  Has a $effect_chance% chance to [paralyze]{mechanic:paralyze} the target.

During [Rain Dance]{move:rain-dance}, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of [Protect]{move:protect} and [Detect]{move:detect}.

During [Sunny Day]{move:sunny-day}, this move has 50% accuracy."
154,9,Immediately ends wild battles.  No effect otherwise.,Does nothing.  Wild battles end immediately.
155,9,Hits once for every conscious Pokémon the trainer has.,"Inflicts [typeless]{mechanic:typeless} [regular damage]{mechanic:regular damage}.  Every Pokémon in the user's party, excepting those that have fainted or have a [major status effect]{mechanic:major status effect}, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  [Dark]{type:dark} Pokémon still get [STAB]{mechanic:stab}.

This effect breaks through [Wonder Guard]{ability:wonder-guard}."
156,9,"User flies high into the air, dodging all attacks, and hits next turn.","Inflicts [regular damage]{mechanic:regular damage}.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, [Gust]{move:gust}, [Hurricane]{move:hurricane}, [Sky Uppercut]{move:sky-uppercut}, [Smack Down]{move:smack-down}, [Thunder]{move:thunder}, [Twister]{move:twister}, and [Whirlwind]{move:whirlwind} still hit the user normally.  [Gust]{move:gust} and [Twister]{move:twister} also have double power against the user.

The damage from [Hail]{move:hail} and [Sandstorm]{move:sandstorm} still applies during the immune turn.

The user may be hit during its immune turn if under the effect of [Lock-On]{move:lock-on}, [Mind Reader]{move:mind-reader}, or [No Guard]{ability:no-guard}.

This move cannot be used while [Gravity]{move:gravity} is in effect.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
157,9,Raises user's Defense by one stage.,"Raises user's [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.

After this move is used, the power of [Ice Ball]{move:ice-ball} and [Rollout]{move:rollout} are doubled until the user leaves the [field]{mechanic:field}."
159,9,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,Inflicts [regular damage]{mechanic:regular damage}.  Causes the target to flinch.  Can only be used on the user's first turn after entering the [field]{mechanic:field}.
160,9,Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,"Inflicts [regular damage]{mechanic:regular damage}.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the [field]{mechanic:field} wake up, and none can fall to [sleep]{mechanic:sleep} until the lock-in ends.

Pokémon cannot use [Rest]{move:rest} during this effect.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
161,9,Stores energy up to three times for use with Spit Up and Swallow.,"Raises the user's [Defense]{mechanic:defense} and [Special Defense]{mechanic:special defense} by one [stage]{mechanic:stage} each.  Stores energy for use with [Spit Up]{move:spit-up} and [Swallow]{move:swallow}.  Up to three levels of energy can be stored, and all are lost if the user leaves the [field]{mechanic:field}.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses [Baton Pass]{move:baton-pass}, the stat boosts are passed as normal, but the stored energy is not."
162,9,Power is 100 times the amount of energy Stockpiled.,"Inflicts [regular damage]{mechanic:regular damage}.  Power is equal to 100 times the amount of energy stored by [Stockpile]{move:stockpile}.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user's [Defense]{mechanic:defense} and [Special Defense]{mechanic:special defense} are reset to what they would be if [Stockpile]{move:stockpile} had not been used.  If the user has no energy stored, this move will fail.

This move cannot be copied by [Mirror Move]{move:mirror-move}."
163,9,"Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.","Heals the user depending on the amount of energy stored by [Stockpile]{move:stockpile}: 1/4 its max [HP]{mechanic:hp} after one use, 1/2 its max [HP]{mechanic:hp} after two uses, or fully after three uses.  Stored energy is consumed, and the user's [Defense]{mechanic:defense} and [Special Defense]{mechanic:special defense} are reset to what they would be if [Stockpile]{move:stockpile} had not been used.  If the user has no energy stored, this move will fail."
165,9,Changes the weather to a hailstorm for five turns.,"Changes the weather to hail for five turns, during which non-[Ice]{type:ice} Pokémon are damaged for 1/16 their max [HP]{mechanic:hp} at the end of every turn.

If the user is holding [Icy Rock]{item:icy-rock}, this effect lasts for eight turns.

[Blizzard]{move:blizzard} has 100% accuracy.  If the target has used [Detect]{move:detect} or [Protect]{move:protect}, [Blizzard]{move:blizzard} has a (100 - accuracy)% chance to break through the protection.

[Moonlight]{move:moonlight}, [Morning Sun]{move:morning-sun}, and [Synthesis]{move:synthesis} heal only 1/4 of the user's max [HP]{mechanic:hp}.

Pokémon with [Snow Cloak]{ability:snow-cloak} are exempt from this effect's damage."
166,9,Prevents the target from using the same move twice in a row.,"Prevents the target from attempting to use the same move twice in a row.  When the target leaves the [field]{mechanic:field}, this effect ends.

If the target is forced to attempt a repeated move due to [Choice Band]{item:choice-band}, [Choice Scarf]{item:choice-scarf}, [Choice Specs]{item:choice-specs}, [Disable]{move:disable}, [Encore]{move:encore}, [Taunt]{move:taunt}, only having [PP]{mechanic:pp} remaining for one move, or any other effect, the target will use [Struggle]{move:struggle} instead.  The target is then free to use the forced move next turn, as it didn't use that move this turn."
167,9,Raises the target's Special Attack by one stage and confuses the target.,"Raises the target's [Special Attack]{mechanic:special attack} by one [stage]{mechanic:stage}, then [confuses]{mechanic:confuses} it."
168,9,Burns the target.,[Burns]{mechanic:burns} the target.
169,9,Lowers the target's Attack and Special Attack by two stages.  User faints.,Lowers the target's [Attack]{mechanic:attack} and [Special Attack]{mechanic:special attack} by two [stages]{mechanic:stage}.  User faints.
170,9,"Power doubles if user is burned, paralyzed, or poisoned.","Inflicts [regular damage]{mechanic:regular damage}.  If the user is [burned]{mechanic:burned}, [paralyzed]{mechanic:paralyzed}, or [poisoned]{mechanic:poisoned}, this move has double power."
171,9,"If the user takes damage before attacking, the attack is canceled.","Inflicts [regular damage]{mechanic:regular damage}.  If the user takes damage this turn before hitting, this move will fail.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist}, [Metronome]{move:metronome}, or [Sleep Talk]{move:sleep-talk}."
172,9,"If the target is paralyzed, inflicts double damage and cures the paralysis.","Inflicts [regular damage]{mechanic:regular damage}.  If the user is [paralyzed]{mechanic:paralyzed}, this move has double power, and the user is cured of its [paralysis]{mechanic:paralysis}."
173,9,Redirects the target's single-target effects to the user for this turn.,"Until the end of this turn, any moves that opposing Pokémon target solely at the user's ally will instead target the user.  If both Pokémon on the same side of the [field]{mechanic:field} use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over [Lightningrod]{ability:lightningrod} and [Storm Drain]{ability:storm-drain}.

If the user's ally [switches out]{mechanic:switches out}, opposing Pokémon may still hit it with [Pursuit]{move:pursuit}.

This move cannot be selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
174,9,Uses a move which depends upon the terrain.,"Uses another move chosen according to the terrain.

Terrain        | Selected move
-------------- | ------------------
Building       | [Tri Attack]{move:tri-attack}
Cave           | [Rock Slide]{move:rock-slide}
Deep water     | [Hydro Pump]{move:hydro-pump}
Desert         | [Earthquake]{move:earthquake}
Grass          | [Seed Bomb]{move:seed-bomb}
Mountain       | [Rock Slide]{move:rock-slide}
Road           | [Earthquake]{move:earthquake}
Shallow water  | [Hydro Pump]{move:hydro-pump}
Snow           | [Blizzard]{move:blizzard}
Tall grass     | [Seed Bomb]{move:seed-bomb}

In Pokémon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | [Tri Attack]{move:tri-attack}
Crystal        | [Rock Slide]{move:rock-slide}
Gateway        | [Hydro Pump]{move:hydro-pump}
Magma          | [Rock Slide]{move:rock-slide}
Main Street    | [Tri Attack]{move:tri-attack}
Neon           | [Tri Attack]{move:tri-attack}
Stargazer      | [Rock Slide]{move:rock-slide}
Sunny Park     | [Seed Bomb]{move:seed-bomb}
Sunset         | [Earthquake]{move:earthquake}
Waterfall      | [Seed Bomb]{move:seed-bomb}

This move cannot be copied by [Mirror Move]{move:mirror-move}."
175,9,Raises the user's Special Defense by one stage.  User's Electric moves have doubled power next turn.,"Raises the user's [Special Defense]{mechanic:special defense} by one [stage]{mechanic:stage}.  If the user uses an [Electric]{type:electric} move next turn, its power will be doubled."
176,9,"For the next few turns, the target can only use damaging moves.","Target is forced to only use damaging moves for the next 3–5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.

[Assist]{move:assist}, [Copycat]{move:copycat}, [Me First]{move:me-first}, [Metronome]{move:metronome}, [Mirror Move]{move:mirror-move}, and [Sleep Talk]{move:sleep-talk} do not directly inflict damage and thus may not be used.

[Bide]{move:bide}, [Counter]{move:counter}, [Endeavor]{move:endeavor}, [Metal Burst]{move:metal-burst}, and [Mirror Coat]{move:mirror-coat} are allowed."
177,9,Ally's next move inflicts half more damage.,"Boosts the power of the target's moves by 50% until the end of this turn.

This move cannot be copied by [Mirror Move]{move:mirror-move}, nor selected by [Assist]{move:assist} or [Metronome]{move:metronome}."
